phrase,replacement,kind,admin1_id
ALLEY,ALY,street_suffix,
AVENUE,AVE,street_suffix,
BEND,BND,street_suffix,
BLUFF,BLF,street_suffix,
BOULEVARD,BLVD,street_suffix,
BRANCH,BR,street_suffix,
BROOK,BRK,street_suffix,
BYPASS,BYP,street_suffix,
CAUSEWAY,CSWY,street_suffix,
CENTER,CTR,street_suffix,
CIRCLE,CIR,street_suffix,
COMMON,CMN,street_suffix,
CORNER,COR,street_suffix,
COURT,CT,street_suffix,
COURTS,CTS,street_suffix,
COVE,CV,street_suffix,
CREEK,CRK,street_suffix,
CRESCENT,CRES,street_suffix,
CREST,CRST,street_suffix,
CROSSING,XING,street_suffix,
DALE,DL,street_suffix,
DRIVE,DR,street_suffix,
DRIVES,DRS,street_suffix,
ESTATE,EST,street_suffix,
ESTATES,ESTS,street_suffix,
EXPRESSWAY,EXPY,street_suffix,
EXTENSION,EXT,street_suffix,
FIELD,FLD,street_suffix,
FOREST,FRST,street_suffix,
FORGE,FRG,street_suffix,
FORK,FRK,street_suffix,
FREEWAY,FWY,street_suffix,
GARDEN,GDN,street_suffix,
GARDENS,GDNS,street_suffix,
GATEWAY,GTWY,street_suffix,
GLEN,GLN,street_suffix,
GREEN,GRN,street_suffix,
GROVE,GRV,street_suffix,
HARBOR,HBR,street_suffix,
HAVEN,HVN,street_suffix,
HEIGHTS,HTS,street_suffix,
HIGHWAY,HWY,street_suffix,
HILL,HL,street_suffix,
HILLS,HLS,street_suffix,
HOLLOW,HOLW,street_suffix,
ISLAND,IS,street_suffix,
JUNCTION,JCT,street_suffix,
KNOLL,KNL,street_suffix,
LAKE,LK,street_suffix,
LANDING,LNDG,street_suffix,
LANE,LN,street_suffix,
LOOP,LOOP,street_suffix,
MANOR,MNR,street_suffix,
MEADOW,MDW,street_suffix,
MEADOWS,MDWS,street_suffix,
MILL,ML,street_suffix,
MOUNT,MT,street_suffix,
MOUNTAIN,MTN,street_suffix,
ORCHARD,ORCH,street_suffix,
PARK,PARK,street_suffix,
PARKWAY,PKWY,street_suffix,
PASS,PASS,street_suffix,
PATH,PATH,street_suffix,
PIKE,PIKE,street_suffix,
PLACE,PL,street_suffix,
PLAZA,PLZ,street_suffix,
POINT,PT,street_suffix,
PORT,PRT,street_suffix,
RIDGE,RDG,street_suffix,
RIVER,RIV,street_suffix,
ROAD,RD,street_suffix,
ROUTE,RTE,street_suffix,
ROW,ROW,street_suffix,
RUN,RUN,street_suffix,
SHORE,SHR,street_suffix,
SHORES,SHRS,street_suffix,
SPRING,SPG,street_suffix,
SPRINGS,SPGS,street_suffix,
SPUR,SPUR,street_suffix,
SQUARE,SQ,street_suffix,
STATION,STA,street_suffix,
STREAM,STRM,street_suffix,
STREET,ST,street_suffix,
SUMMIT,SMT,street_suffix,
TERRACE,TER,street_suffix,
TRACE,TRCE,street_suffix,
TRAIL,TRL,street_suffix,
TURNPIKE,TPKE,street_suffix,
VALLEY,VLY,street_suffix,
VIEW,VW,street_suffix,
VILLAGE,VLG,street_suffix,
VISTA,VIS,street_suffix,
WALK,WALK,street_suffix,
WAY,WAY,street_suffix,
NORTH,N,directional,
SOUTH,S,directional,
EAST,E,directional,
WEST,W,directional,
NORTHEAST,NE,directional,
NORTHWEST,NW,directional,
SOUTHEAST,SE,directional,
SOUTHWEST,SW,directional,
APARTMENT,APT,unit,
BASEMENT,BSMT,unit,
BUILDING,BLDG,unit,
DEPARTMENT,DEPT,unit,
FLOOR,FL,unit,
FRONT,FRNT,unit,
HANGAR,HNGR,unit,
LOBBY,LBBY,unit,
LOWER,LOWR,unit,
NUMBER,NUM,unit,
OFFICE,OFC,unit,
PENTHOUSE,PH,unit,
PIER,PIER,unit,
REAR,REAR,unit,
ROOM,RM,unit,
SIDE,SIDE,unit,
SLIP,SLIP,unit,
SPACE,SPC,unit,
STOP,STOP,unit,
SUITE,STE,unit,
TRAILER,TRLR,unit,
UNIT,UNIT,unit,
UPPER,UPPR,unit,
UNITED STATES,US,match,
NULL,,match,
