pattern,code
(A1)D3( A1)Dx,keep_length: 1 3  & merge_after: 0 0 0 & skip_empty: 1
(D2(A))D2(S)D6S(.D2),merge_after: 0 & skip_empty: 1
(D5_)Dx-Dx-Dx,skip_empty: 1
(D5_)Dx.Dx-Dx-Dx.Dx,
(D5_)Dx.Dx-Dx-Dx.Dx,skip_empty: 1
(D5_)Dx.Dx-Dx-Dx.Dx,split_groups: 1|1 4|1 4_1|1 & drop_cols: 1_0 & keep_length: 1_1 2 3 & merge_after: 0 0 0 0 0 0 & skip_empty: 1
A-D2_Dx_Dx_Sx,skip_empty: 1
A1D2([A1 ])-   -D3([A1 ])-(Sx),keep_length: 1 3 & merge_after: 0 0 0 0 0 & skip_empty: 1
A4 A-D2-D5(-S)(-Sx).,keep_length: 1 & merge_after: 0 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),drop_cols: 0 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),drop_cols: 2 3 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),drop_cols: 3
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),merge_after: 1 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 0|- 1|- 3|- & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 0|- 2|- 1|. & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 1|- & join_char:   & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 1|- & merge_after: 1_0 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 1|- & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 1|- 1_1|- & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 1|- 1_1|- 1_1_0|& & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 2|- & drop_cols: 3 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 2|- & merge_after: 2_0 & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),split_groups: 2|- & skip_empty: 1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),switch: 1|2 & skip_empty: 1
A4 A:Sx( A) A:Sx A:Sx( A),skip_empty: 1
A4 A:[D.]x-Dx-[D.]x,split_groups: 0|. 2|. & skip_empty: 1
A4 D6-D6((Sx)),skip_empty: 1
A4 M:Sx B:(Sx)( L:(Sx)),drop_cols: 1 & skip_empty: 1
A4 M:Sx B:(Sx)( L:(Sx)),join_char:   & skip_empty: 1
A4 M:Sx B:(Sx)( L:(Sx)),keep_length: 1 & fill_zeros: 2
A4 M:Sx B:(Sx)( L:(Sx)),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1
A4 M:Sx B:(Sx)( L:(Sx)),merge_after: 1 0
