country_id,admin_id_admin1,admin_id,name,kind,origin,source_column,pattern,conv,match_rate,n_ids_parcel,n_ids_tax
US,01001,US-AL-AU,Autauga,parcel,auto,apn,Sx(-)Dx,string_lengths: 2 2 2 1 3 3 3 & skip_empty: 1,0.942,30925.0,30658.0
US,01001,US-AL-AU,Autauga,tax,auto,apn,Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(-Sx)( Dx),skip_empty: 1,0.942,30925.0,30658.0
US,01003,US-AL-BA,Baldwin,parcel,manual,apn,Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(-Sx)( Dx),drop_cols: 0 & skip_empty: 1,,,
US,01003,US-AL-BA,Baldwin,tax,manual,apn,Dx(-Sx)(-Dx),string_lengths: 2 2 2 1 3 3 3 * & skip_empty: 1,,,
US,01005,US-AL-BR,Barbour,parcel,auto,apn,Sx,split_groups: 0|2 0_1|2 0_1_1|4 0_1_1_1|4 0_1_1_1_1|4 & skip_empty: 1,0.864,25080.0,23380.0
US,01005,US-AL-BR,Barbour,tax,auto,apn,Sx,split_groups: 0|2 0_1|2 0_1_1|4 0_1_1_1|4 0_1_1_1_1|4 & skip_empty: 1,0.864,25080.0,23380.0
US,01007,US-AL-BI,Bibb,parcel,auto,apn2,Dx,split_groups: 0|16 & drop_cols: 0_1,0.794,16221.0,15449.0
US,01007,US-AL-BI,Bibb,tax,auto,apn,D2 D2 D2 D1 D3 D3.Dx,split_groups: 6|-1 & keep_length: 1 2 3 4 5 6_0 & merge_after: 0 0 0 0 0 0 & skip_empty: 1,0.794,16221.0,15449.0
US,01009,US-AL-BL,Blount,parcel,manual,apn,Sx,string_lengths: 2 2 2 2 1 3 3 3 & drop_cols: 0,,,
US,01009,US-AL-BL,Blount,tax,manual,apn,Sx-Sx-Sx-Sx(-Sx-Sx.Sx),,,,
US,01011,US-AL-BO,Bullock,parcel,manual,apn,^(?:09)?([0-9]+)\.([0-9]+)$,,,,
US,01011,US-AL-BO,Bullock,tax,manual,apn,Sx,string_lengths: * 3,,,
US,01013,US-AL-BU,Butler,parcel,auto,apn,Dx,string_lengths: 2 2 2 1 3 3 3 0,0.999,18999.0,19326.0
US,01013,US-AL-BU,Butler,tax,auto,apn,Dx Dx Dx Dx Dx Dx Dx.Dx( Sx),drop_cols: 0,0.999,18999.0,19326.0
US,01015,US-AL-CA,Calhoun,parcel,auto,apn,Ignored,simple,0.985,73118.0,72664.0
US,01015,US-AL-CA,Calhoun,tax,auto,apn,Ignored,simple,0.985,73118.0,72664.0
US,01017,US-AL-CH,Chambers,parcel,auto,apn2,Dx Dx Dx Dx Dx Dx Dx.Dx( Sx),drop_cols: 0 & skip_empty: 1,0.829,26210.0,24539.0
US,01017,US-AL-CH,Chambers,tax,auto,apn,Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),split_groups: 6|3 & drop_cols: 0 & skip_empty: 1,0.829,26210.0,24539.0
US,01019,US-AL-CE,Cherokee,parcel,auto,apn,Ignored,simple,0.989,32821.0,33215.0
US,01019,US-AL-CE,Cherokee,tax,auto,apn,Ignored,simple,0.989,32821.0,33215.0
US,01021,US-AL-CI,Chilton,parcel,auto,apn2,Ignored,simple,0.839,31108.0,29888.0
US,01021,US-AL-CI,Chilton,tax,auto,apn,Ignored,simple,0.839,31108.0,29888.0
US,01023,US-AL-CC,Choctaw,parcel,auto,apn2,Dx Dx Dx Dx Dx Dx Dx.Dx( Sx),drop_cols: 0 & skip_empty: 1,0.759,22597.0,21391.0
US,01023,US-AL-CC,Choctaw,tax,auto,apn,Dx Dx Dx Dx Dx Dx Dx.Dx( Sx),drop_cols: 0 & skip_empty: 1,0.759,22597.0,21391.0
US,01025,US-AL-CL,Clarke,parcel,manual,apn2,Dx,string_lengths: 2 2 2 1 3 3 3 & skip_empty: 1,,,
