pattern,regex,complexity,active
Dx,^([0-9]+)$,1,1
Sx,"^([0-9A-Z]{3,})$",1,1
Sx_Sx_Sx,^([0-9A-Z]+)_([0-9A-Z]+)_([0-9A-Z]+)$,2,1
Sx_[S.]x_[S.]x,^([0-9A-Z]+)_([0-9A-Z.]+)_([0-9A-Z.]+)$,3,1
Sx_Sx(_Sx),^([0-9A-Z]+)_([0-9A-Z]+)(?:_([0-9A-Z]+))?$,2,1
Sx_Sx(_+_.Sx),^([0-9]+)_([0-9]+)(?:(?:_\+_|_\.)?([0-9]+))?$,2,1
Sx_[S.]x(_[S#.-]x),^([0-9A-Z]+)_([0-9A-Z.]+)(?:_([0-9A-Z#.-]+))?$,3,1
Sx(_Sx)_Sx_[S.-]x(_Sx),^([0-9A-Z]+)(?:_([0-9A-Z]+))?_([0-9A-Z]+)_([0-9A-Z.-]+)(?:_([0-9A-Z]+))?$,2,1
Sx(_Sx)_Sx_Sx(-(Dx)_Sx),^([0-9A-Z]+)(?:_([0-9A-Z]+))?_([0-9A-Z]+)_([0-9A-Z]+)(?:-([0-9]+)?_([0-9A-Z]+))?$,2,1
Dx_Sx(-[S-]x)( D)_[S-]x,^([0-9]+)_([0-9A-Z]+)(?:-([0-9A-Z-]+))?(?: [0-9-]+)?_([0-9A-Z-]+)$,2,1
"Sx_[S&;,-]x_0","^([0-9A-Z]+)_([0-9A-Z&;,-]+)_([0-9A-Z-]+)$",3,1
[S.-]x_Sx_Sx,^([0-9A-Z.-]+)_([0-9A-Z]+)_([0-9A-Z]+)$,2,1
Sx_[S&]x(_Sx)(_Sx),^([0-9A-Z]+)_([0-9A-Z&]+)(?:_([0-9A-Z]+))?(?:_([0-9A-Z]+))?$,2,1
Dx(_A)(_Dx)(_A)_Dx(_A),^([0-9]+)(?:_([A-Z]))?(?:_([0-9]+))?(?:_([A-Z]))?_([0-9]+)(?:_([A-Z]))?$,1,1
Sx/(S) (Sx)/(S) (Sx)/(S)( (Sx)/(S)),^([0-9A-Z.-]+)/([0-9A-Z])? ([0-9A-Z.]+)?/([0-9A-Z])? ([0-9A-Z&.]+)?/([0-9A-Z])?(?: ([0-9A-Z.]+)?/([0-9A-Z])?)?$,4,1
Sx-Sx,^([0-9A-Z]+)-([0-9A-Z]+)$,1,1
[S.]x-Sx,^([0-9A-Z.]+)-([0-9A-Z]+)$,1,1
Sx--[S.]x,^([0-9A-Z]+)--([0-9A-Z.]+)$,1,1
Sx-[S.]x,^([0-9A-Z]+)-([0-9A-Z.]+)$,2,1
Sx-Sx-Sx,^([0-9A-Z]+) ?-([0-9A-Z]+)-([0-9A-Z]+)$,1,1
Dx(-Sx)(-Dx),^([0-9]+)(?:-([0-9A-Z]+))?(?:-([0-9]+))?$,2,1
Sx-Sx(-Sx),^([0-9A-Z]+)-([0-9A-Z]+)(?:-([0-9A-Z]+))?$,2,1
[S.]x-Sx(-Sx)(/Dx),^([0-9A-Z.]+)-([0-9A-Z]+)(?:-([0-9A-Z]+))?(?:/([0-9]+))?$,3,1
Sx-Sx-(Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)?$,2,1
Sx-Sx-Sx(.Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z&+]+)(?:\.([0-9A-Z&]+))?$,1,1
Sx( A)-Sx-Sx( A),^([0-9A-Z]+)(?: ([A-Z]))?-([0-9A-Z]+)-([0-9A-Z]+)(?: ([A-Z]))?$,2,1
Sx-Sx-Sx-Sx,^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z.]+)-([0-9A-Z]+)$,1,1
Sx-Sx-Sx(-Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)(?:-([0-9A-Z]+))?$,2,1
Sx-Sx-Sx( Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)(?: ([0-9A-Z]+))?$,3,1
Sx-Sx(-Sx)(-Sx),^([0-9A-Z]+)-([0-9A-Z&]+)(?:-([0-9A-Z]+))?(?:-([0-9A-Z]+))?$,2,1
Sx-Sx-Sx-Sx( Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z+]+)-([0-9A-Z]+)(?: ([0-9A-Z]+))?$,2,1
Sx-Sx-Sx-Sx( Sx)|ADx,^(?:([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z+]+)-([0-9A-Z]+)(?: ([0-9A-Z]+))?|([A-Z][0-9]+))$,2,1
Sx-Sx-Sx(-Sx)(-Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z+]+)(?:-([0-9A-Z]+))?(?:-([0-9A-Z+]+))?$,3,1
Sx-[S.]x(-Sx)(-Sx)(-Sx),^([0-9A-Z]+)-([0-9A-Z.]+)(?:-([0-9A-Z]+))?(?:-([0-9A-Z]+))?(?:-([0-9A-Z]+))?$,4,1
