recipe_id,scope,level,join_column,key,note
US_admin-census-2025_admin2,US,2,admin2_id_admin1,,A country's own layer weights its units wherever it has one; no GADM geometry decides a US code
CO_admin-dane-2025_admin2,CO,2,admin2_id_admin1,,A country's own layer weights its units wherever it has one
GB_admin-ons-2024_admin2,GB,2,admin2_id_admin1,,A country's own layer weights its units wherever it has one
US_admin-census-2025_admin3,US,3,admin3_id_admin1,,Counties outside New England; the towns there come from each state's own layer below
GB_admin-ons-2024_admin3,GB,3,admin3_id_admin1,,A country's own layer weights its units wherever it has one
US-CT_admin-census-2025_admin3,US-CT,3,,state_plus_subdivision,Connecticut renumbered its counties into planning regions in 2022 so the whole GEOID no longer joins
US-MA_admin-census-2025_admin3,US-MA,3,,,New England towns are level 3 and come from the state's own layer; the national admin4 layer excludes them
US-ME_admin-census-2025_admin3,US-ME,3,,,New England towns are level 3 and come from the state's own layer; the national admin4 layer excludes them
US-NH_admin-census-2025_admin3,US-NH,3,,,New England towns are level 3 and come from the state's own layer; the national admin4 layer excludes them
US-RI_admin-census-2025_admin3,US-RI,3,,,New England towns are level 3 and come from the state's own layer; the national admin4 layer excludes them
US-VT_admin-census-2025_admin3,US-VT,3,,,New England towns are level 3 and come from the state's own layer; the national admin4 layer excludes them
CO_admin-dane-2025_admin3,CO,3,,,DANE supplies municipal weights where the global geometry has none
GB_admin-ons-2024_admin4,GB,4,admin4_id_admin1,,
DE_admin-gisco-2024_admin4,DE,4,admin4_id_admin1,,
FR_admin-gisco-2024_admin4,FR,4,admin4_id_admin1,,
US_admin-census-2025_admin4,US,4,admin4_id_admin1,,
