admin1_id,admin2_name_gadm,admin2_name_official,comment
CO-BY,Guicán,Güicán de la Sierra,
CO-BY,Ciénaga,Ciénega,
CO-BY,Topagá,Tópaga,
CO-CU,Santafé de Bogotá,"Bogotá, D.C.",
CO-ME,La Uribe,Uribe,
CO-NA,San Juan de Pasto,Pasto,
CO-NA,Santa Cruz,Santacruz,
CO-NS,Santo Domingo de Silos,Silos,
CO-SU,Sincé,San Luis de Sincé,
CO-SU,Tolú,Santiago de Tolú,
CO-VC,Santiago de Cali,Cali,
CO-AM,Mirití-Paraná,Mirití - Paraná,
CO-AN,Carolina del Principe,Carolina,
CO-AN,Don Matías,Donmatías,
CO-AN,La Unión de Sucre,La Unión,
CO-AN,Pequé,Peque,
CO-AN,San Andrés de Cuerquia,San Andrés de Cuerquía,
CO-AN,San Vicente,San Vicente Ferrer,
CO-AN,Santa Fe de Antioquia,Santa Fé de Antioquia,
CO-BL,San Estanislao de Kostka,San Estanislao,
CO-BY,Beteitiva,Betéitiva,
CO-BL,María la Baja,María La Baja,
CO-BY,Busbanza,Busbanzá,
CO-BY,Izá,Iza,
CO-AN,Bolívar,Ciudad Bolívar,
CO-BY,Toguí,Togüí,
CO-BY,Tunungua,Tununguá,
CO-BY,Zetaquirá,Zetaquira,
CO-BY,Umbita,Úmbita,
CO-CA,Caldonó,Caldono,
CO-CA,Guapí,Guapi,
CO-CA,Piendamó,Piendamó - Tunía,
CO-CA,Sotará,Sotará - Paispamba,
CO-CE,Manaure,Manaure Balcón del Cesar,
CO-CH,Novita,Nóvita,
CO-CL,Aranzazú,Aranzazu,
CO-CO-,Purísima,Purísima de la Concepción,
CO-CO-,San Bernardino de Sahagún,Sahagún,
CO-CO-,Santa Cruz de Lorica,Lorica,
CO-CQ,Belén de los Andaquies,Belén de los Andaquíes,
CO-VC,La Unión de Sucre,La Unión,
CO-TO,San Sebastian de Mariquita,San Sebastián de Mariquita,
CO-TO,San Luís,San Luis,
CO-TO,Falán,Falan,
CO-SU,Toluviejo,San José de Toluviejo,
CO-SU,San Antonio de Palmito,Palmito,
CO-SU,Guarandá,Guaranda,
CO-CU,El Peñon,El Peñón,
CO-CU,San Juan de Río Seco,San Juan de Rioseco,
CO-CU,Utica,Útica,
CO-GN,Barranco Minas,Barrancominas,
CO-GN,Puerto Inírida,Inírida,
CO-HU,Tarquí,Tarqui,
CO-MA,Pueblo Viejo,Puebloviejo,
CO-MA,Santa Marta (Dist. Esp.),Santa Marta,
CO-HU,Iquira,Íquira,
CO-ME,San Luis de Cubarral,Cubarral,
CO-ME,Vista Hermosa,Vistahermosa,
CO-NA,Ancuyá,Ancuya,
CO-NA,Cuaspud,Cuaspud Carlosama,
CO-NA,El Tablón de Gomez,El Tablón de Gómez,
CO-NS,La Playa de Belén,La Playa,
CO-NS,Salazar de las Palmas,Salazar,
CO-PU,San Miguel de Mocoa,San Miguel,
CO-RI,Mistrato,Mistrató,
CO-ST,Chimá,Chima,
CO-NA,La Unión de Sucre,La Unión,
CO-NS,Abrego,Ábrego,
CO-ST,El Carmen de Chucurí,El Carmen de Chucuri,
CO-ST,El Peñon,El Peñón,
CO-ST,San Andrés de Cuerquia,San Andrés,
CO-SU,La Unión de Sucre,La Unión,
CO-NA,Tumaco,San Andrés de Tumaco,
