admin3_id,admin3_id_admin1
US-AR-AR,05001
US-AR-AS,05003
US-AR-BA,05005
US-AR-BE,05007
US-AR-BO,05009
US-AR-BR,05011
US-AR-CA,05013
US-AR-CB,05023
US-AR-CD,05035
US-AR-CG,05031
US-AR-CI,05027
US-AR-CK,05019
US-AR-CL,05015
US-AR-CN,05029
US-AR-CO,05037
US-AR-CT,05017
US-AR-CV,05025
US-AR-CW,05033
US-AR-CY,05021
US-AR-DA,05039
US-AR-DE,05041
US-AR-DR,05043
US-AR-FA,05045
US-AR-FR,05047
US-AR-FU,05049
US-AR-GE,05055
US-AR-GL,05051
US-AR-GN,05053
US-AR-HE,05057
US-AR-HT,05059
US-AR-HW,05061
US-AR-IN,05063
US-AR-IZ,05065
US-AR-JA,05067
US-AR-JE,05069
US-AR-JO,05071
US-AR-LC,05079
US-AR-LE,05077
US-AR-LF,05073
US-AR-LG,05083
US-AR-LO,05085
US-AR-LT,05081
US-AR-LW,05075
US-AR-MD,05087
US-AR-ME,05095
US-AR-ML,05091
US-AR-MN,05089
US-AR-MS,05093
US-AR-MT,05097
US-AR-NV,05099
US-AR-NW,05101
US-AR-OU,05103
US-AR-PE,05109
US-AR-PH,05107
US-AR-PL,05113
US-AR-PN,05111
US-AR-PP,05115
US-AR-PR,05117
US-AR-PU,05119
US-AR-PY,05105
US-AR-RA,05121
US-AR-SA,05129
US-AR-SB,05131
US-AR-SC,05127
US-AR-SH,05135
US-AR-SI,05123
US-AR-SL,05125
US-AR-ST,05137
US-AR-SV,05133
US-AR-UN,05139
US-AR-VA,05141
US-AR-WA,05143
US-AR-WH,05145
US-AR-WO,05147
US-AR-YE,05149
