bltasid,building_style
0,Permit Value  *CODE
1,Ranch 1 Story
2,Bi Level
3,Bi Level 1 Story
4,Bi Level 2 Story
5,One and Half Story Fin
6,One and Half Story Unfin
7,Split Level
8,2 Story
9,2 and Half Story
10,Cabin
11,A Frame
12,Dome
13,Cottage
14,Single Wide
15,Double Wide
16,Triple Wide
17,Apartment  LT 3 Stories
18,Apartment GT 3 Stories
19,Condo LT 3 Stories
20,Condo GT 3 Stories
21,Modular
22,Modular One and Half Story
23,Modular 2 Story
24,2 and Half Story Unfin
25,3 Story
26,Manufactured  *CODE
27,Multi-level
40,Earth Sheltered
41,Rammed Earth
42,Baled Straw
51,Duplex One Story
55,Duplex One and Half Story
57,Duplex Split Level
58,Duplex Two Story
61,Townhouse One Story
65,Townhouse  One and Half Story
67,Townhouse Split Level
68,Townhouse Two Story
69,Townhouse Three Story
71,Triplex One Story
75,Triplex  One and Half Story
77,Triplex Split Level
78,Triplex Two Story
95,Residential Tennis Court *CODE
98,Attached Garage *CODE
99,Detached Garage
140,Parking Lot *CODE
141,Tanks  *CODE
144,Grain Hopper
145,Corrals  *CODE
146,Scales Cattle  *CODE
147,Scales Platform *CODE
148,Scales Truck *CODE
149,Solar Room *CODE
150,Race Track *CODE
151,Swimming Pool  *CODE
152,Pumps  *CODE
153,Salvage Yard *CODE
154,Steel Tank Low Stress-Above ground
155,Steel Tank High Stress-Above ground
156,Welded Steel Water Tank
157,Bolted Steel Water Tank
158,Concrete Water Tank
159,Wood Tank
160,Galvanized SteelTank
161,Towers
162,Fiberglass Sngl Wall Underground Fuel Tank
163,Fiberglass Dbl Wall Underground Fuel Tank
164,Steel Sngl Wall Underground Fuel Tank
165,Steel Dbl Wall Underground Fuel Tank
166,Fiber Coated Steel Sgl Wall Underground Fuel Tank
167,Fiber Coated Steel Dbl Wall Underground Fuel Tank
168,Welded Underground Fuel Tank
169,Bolted Steel Underground Tank
170,Horizontal Bulk Tank
171,Horizontal Plastic Tank
172,Vertical Welded Tank
173,Vertical Bulk Tank
174,Vertical Plastic Tank
175,Welded Pressure
177,High-Rise Row (Town) Houses
180,Feed Handling and Mixing
