admin3_id,name
US-CT-BET,Bethel
US-CT-BRO,Brookfield
US-CT-BRI,Bridgeport
US-CT-DAN,Danbury
US-CT-DAR,Darien
US-CT-EAS,Easton
US-CT-FAI,Fairfield
US-CT-GRE,Greenwich
US-CT-MOE,Monroe
US-CT-NCN,New canaan
US-CT-NEW,Newtown
US-CT-NFA,New fairfield
US-CT-NOR,Norwalk
US-CT-RED,Redding
US-CT-RID,Ridgefield
US-CT-SHE,Sherman
US-CT-SHN,Shelton
US-CT-STR,Stratford
US-CT-STA,Stamford
US-CT-TRU,Trumbull
US-CT-WEN,Weston
US-CT-WIL,Wilton
US-CT-WES,Westport
US-CT-AVO,Avon
US-CT-BER,Berlin
US-CT-BLO,Bloomfield
US-CT-BRL,Bristol
US-CT-BUR,Burlington
US-CT-CAN,Canton
US-CT-EGR,East granby
US-CT-EHA,East hartford
US-CT-ENF,Enfield
US-CT-EWI,East windsor
US-CT-FAR,Farmington
US-CT-GLA,Glastonbury
US-CT-GRA,Granby
US-CT-HAR,Hartford
US-CT-HRT,Hartland
US-CT-MAN,Manchester
US-CT-MAR,Marlborough
US-CT-NBR,New britain
US-CT-NEN,Newington
US-CT-PLA,Plainville
US-CT-ROH,Rocky hill
US-CT-SIM,Simsbury
US-CT-SOU,Southington
US-CT-SUF,Suffield
US-CT-SWI,South windsor
US-CT-WET,Wethersfield
US-CT-WHA,West hartford
US-CT-WIN,Windsor
US-CT-WLO,Windsor locks
US-CT-BAR,Barkhamsted
US-CT-BEM,Bethlehem
US-CT-BRI,Bridgewater
US-CT-CAA,Canaan
US-CT-COK,Colebrook
US-CT-COR,Cornwall
US-CT-GOS,Goshen
US-CT-HAN,Harwinton
US-CT-KEN,Kent
US-CT-LIT,Litchfield
US-CT-MOR,Morris
US-CT-NCA,North canaan
US-CT-NHR,New hartford
US-CT-NMI,New milford
US-CT-NOK,Norfolk
US-CT-PLY,Plymouth
US-CT-ROX,Roxbury
US-CT-SAL,Salisbury
US-CT-SHA,Sharon
US-CT-THN,Thomaston
US-CT-TOR,Torrington
US-CT-WAR,Warren
US-CT-WIR,Winchester
US-CT-WOO,Woodbury
US-CT-WAS,Washington
US-CT-WAN,Watertown
US-CT-CHE,Chester
US-CT-CLI,Clinton
US-CT-CRO,Cromwell
US-CT-DRI,Deep river
US-CT-DUR,Durham
US-CT-EHA,East hampton
US-CT-EHD,East haddam
US-CT-ESS,Essex
US-CT-HAD,Haddam
US-CT-KIL,Killingworth
US-CT-MID,Middletown
US-CT-MID,Middlefield
US-CT-OSA,Old saybrook
US-CT-POR,Portland
US-CT-WEK,Westbrook
US-CT-ANS,Ansonia
US-CT-BEY,Bethany
US-CT-BEF,Beacon falls
US-CT-BRA,Branford
US-CT-CHE,Cheshire
US-CT-DER,Derby
US-CT-EHV,East haven
US-CT-GUI,Guilford
US-CT-HAM,Hamden
US-CT-MAD,Madison
US-CT-MER,Meriden
US-CT-MIY,Middlebury
US-CT-MIL,Milford
US-CT-NAU,Naugatuck
US-CT-NBR,North branford
US-CT-NHA,New haven
US-CT-NHV,North haven
US-CT-ORA,Orange
US-CT-OXF,Oxford
US-CT-PRO,Prospect
US-CT-SEY,Seymour
US-CT-SOY,Southbury
US-CT-WAL,Wallingford
US-CT-WOE,Woodbridge
US-CT-WHA,West haven
US-CT-WOL,Wolcott
US-CT-WAT,Waterbury
US-CT-BOZ,Bozrah
US-CT-COL,Colchester
US-CT-ELY,East lyme
US-CT-FRA,Franklin
US-CT-GRO,Groton
US-CT-GRI,Griswold
US-CT-LED,Ledyard
US-CT-LEB,Lebanon
US-CT-LIS,Lisbon
US-CT-LYM,Lyme
US-CT-MON,Montville
US-CT-NLO,New london
US-CT-NOH,Norwich
US-CT-NST,North stonington
US-CT-OLY,Old lyme
US-CT-PRE,Preston
US-CT-SAL,Salem
US-CT-SPR,Sprague
US-CT-STO,Stonington
US-CT-VOL,Voluntown
US-CT-WAT,Waterford
US-CT-AND,Andover
US-CT-BOL,Bolton
US-CT-COA,Columbia
US-CT-COV,Coventry
US-CT-ELL,Ellington
US-CT-HEB,Hebron
US-CT-MAN,Mansfield
US-CT-SOM,Somers
US-CT-STD,Stafford
US-CT-TOL,Tolland
US-CT-UNI,Union
US-CT-VER,Vernon
US-CT-WLN,Willington
US-CT-ASH,Ashford
US-CT-BRO,Brooklyn
US-CT-CAN,Canterbury
US-CT-CHA,Chaplin
US-CT-EAD,Eastford
US-CT-HMP,Hampton
US-CT-KIL,Killingly
US-CT-PLD,Plainfield
US-CT-POM,Pomfret
US-CT-PUT,Putnam
US-CT-SCO,Scotland
US-CT-STE,Sterling
US-CT-THO,Thompson
US-CT-WIM,Windham
US-CT-WOK,Woodstock
