admin3_id,admin3_id_fips
US-IN-AD,18001
US-IN-AL,18003
US-IN-BA,18005
US-IN-BE,18007
US-IN-BL,18009
US-IN-BO,18011
US-IN-BR,18013
US-IN-CO,18015
US-IN-CS,18017
US-IN-CK,18019
US-IN-CY,18021
US-IN-CI,18023
US-IN-CW,18025
US-IN-DI,18027
US-IN-DE,18029
US-IN-DR,18031
US-IN-DC,18033
US-IN-DL,18035
US-IN-DU,18037
US-IN-EL,18039
US-IN-FA,18041
US-IN-FL,18043
US-IN-FO,18045
US-IN-FR,18047
US-IN-FU,18049
US-IN-GI,18051
US-IN-GA,18053
US-IN-GE,18055
US-IN-HM,18057
US-IN-HC,18059
US-IN-HI,18061
US-IN-HD,18063
US-IN-HY,18065
US-IN-HO,18067
US-IN-HU,18069
US-IN-JC,18071
US-IN-JS,18073
US-IN-JY,18075
US-IN-JF,18077
US-IN-JN,18079
US-IN-JO,18081
US-IN-KN,18083
US-IN-KO,18085
US-IN-LG,18087
US-IN-LA,18089
US-IN-LK,18091
US-IN-LW,18093
US-IN-MD,18095
US-IN-MO,18097
US-IN-MS,18099
US-IN-MN,18101
US-IN-MI,18103
US-IN-MR,18105
US-IN-MM,18107
US-IN-MG,18109
US-IN-NE,18111
US-IN-NO,18113
US-IN-OH,18115
US-IN-OR,18117
US-IN-OW,18119
US-IN-PA,18121
US-IN-PE,18123
US-IN-PI,18125
US-IN-PR,18127
US-IN-PS,18129
US-IN-PL,18131
US-IN-PT,18133
US-IN-RA,18135
US-IN-RI,18137
US-IN-RU,18139
US-IN-SC,18141
US-IN-SH,18143
US-IN-SP,18145
US-IN-SN,18147
US-IN-SR,18149
US-IN-SE,18151
US-IN-SU,18153
US-IN-SW,18155
US-IN-TP,18157
US-IN-TT,18159
US-IN-UN,18161
US-IN-VA,18163
US-IN-VE,18165
US-IN-VI,18167
US-IN-WB,18169
US-IN-WN,18171
US-IN-WI,18173
US-IN-WS,18175
US-IN-WY,18177
US-IN-WE,18179
US-IN-WH,18181
US-IN-WL,18183
