admin3_id,admin3_id_admin2
US-IN-AD,1
US-IN-AL,2
US-IN-BA,3
US-IN-BE,4
US-IN-BL,5
US-IN-BO,6
US-IN-BR,7
US-IN-CA,8
US-IN-CA,9
US-IN-CL,10
US-IN-CY,11
US-IN-CI,12
US-IN-CR,13
US-IN-DA,14
US-IN-DE,15
US-IN-DR,16
US-IN-DC,17
US-IN-DE,18
US-IN-DU,19
US-IN-EL,20
US-IN-FA,21
US-IN-FL,22
US-IN-FO,23
US-IN-FR,24
US-IN-FU,25
US-IN-GI,26
US-IN-GR,27
US-IN-GE,28
US-IN-HA,29
US-IN-HA,30
US-IN-HR,31
US-IN-HE,32
US-IN-HN,33
US-IN-HO,34
US-IN-HU,35
US-IN-JA,36
US-IN-JS,37
US-IN-JY,38
US-IN-JE,39
US-IN-JN,40
US-IN-JO,41
US-IN-KN,42
US-IN-KO,43
US-IN-LG,44
US-IN-LP,45
US-IN-LP,46
US-IN-LW,47
US-IN-MD,48
US-IN-MA,49
US-IN-MS,50
US-IN-MT,51
US-IN-MI,52
US-IN-MA,53
US-IN-MT,54
US-IN-MO,55
US-IN-NE,56
US-IN-NO,57
US-IN-OH,58
US-IN-OR,59
US-IN-OW,60
US-IN-PA,61
US-IN-PE,62
US-IN-PI,63
US-IN-PO,64
US-IN-PS,65
US-IN-PL,66
US-IN-PU,67
US-IN-RA,68
US-IN-RI,69
US-IN-RU,70
US-IN-SC,71
US-IN-SH,72
US-IN-SP,73
US-IN-JO,74
US-IN-SA,75
US-IN-ST,76
US-IN-SU,77
US-IN-SW,78
US-IN-TI,79
US-IN-TI,80
US-IN-UN,81
US-IN-VA,82
US-IN-VE,83
US-IN-VI,84
US-IN-WB,85
US-IN-WR,86
US-IN-WA,87
US-IN-WS,88
US-IN-WY,89
US-IN-WE,90
US-IN-WA,91
US-IN-WI,92
