admin3_id,admin3_id_admin2
US-IN-AD,01
US-IN-AL,02
US-IN-BA,03
US-IN-BE,04
US-IN-BL,05
US-IN-BO,06
US-IN-BR,07
US-IN-CO,08
US-IN-CS,09
US-IN-CK,10
US-IN-CY,11
US-IN-CI,12
US-IN-CW,13
US-IN-DI,14
US-IN-DE,15
US-IN-DR,16
US-IN-DC,17
US-IN-DL,18
US-IN-DU,19
US-IN-EL,20
US-IN-FA,21
US-IN-FL,22
US-IN-FO,23
US-IN-FR,24
US-IN-FU,25
US-IN-GI,26
US-IN-GA,27
US-IN-GE,28
US-IN-HM,29
US-IN-HC,30
US-IN-HI,31
US-IN-HD,32
US-IN-HY,33
US-IN-HO,34
US-IN-HU,35
US-IN-JC,36
US-IN-JS,37
US-IN-JY,38
US-IN-JF,39
US-IN-JN,40
US-IN-JO,41
US-IN-KN,42
US-IN-KO,43
US-IN-LG,44
US-IN-LA,45
US-IN-LK,46
US-IN-LW,47
US-IN-MD,48
US-IN-MO,49
US-IN-MS,50
US-IN-MN,51
US-IN-MI,52
US-IN-MR,53
US-IN-MM,54
US-IN-MG,55
US-IN-NE,56
US-IN-NO,57
US-IN-OH,58
US-IN-OR,59
US-IN-OW,60
US-IN-PA,61
US-IN-PE,62
US-IN-PI,63
US-IN-PR,64
US-IN-PS,65
US-IN-PL,66
US-IN-PT,67
US-IN-RA,68
US-IN-RI,69
US-IN-RU,70
US-IN-SC,71
US-IN-SH,72
US-IN-SP,73
US-IN-SN,74
US-IN-SR,75
US-IN-SE,76
US-IN-SU,77
US-IN-SW,78
US-IN-TP,79
US-IN-TT,80
US-IN-UN,81
US-IN-VA,82
US-IN-VE,83
US-IN-VI,84
US-IN-WB,85
US-IN-WN,86
US-IN-WI,87
US-IN-WS,88
US-IN-WY,89
US-IN-WE,90
US-IN-WH,91
US-IN-WL,92
