admin2_id_admin0,admin3_id_admin0,admin3_id_admin1
25001,03690,20
25001,07175,36
25001,07980,41
25001,12995,55
25001,16775,75
25001,19295,86
25001,23105,96
25001,29020,126
25001,39100,172
25001,51440,224
25001,55500,242
25001,59735,261
25001,70605,300
25001,74385,318
25001,82525,351
25003,00555,4
25003,00975,6
25003,04545,22
25003,13345,58
25003,14010,63
25003,16180,70
25003,21360,90
25003,24120,98
25003,26815,113
25003,28180,121
25003,30315,132
25003,34340,148
25003,34655,150
25003,34970,152
25003,42460,193
25003,43300,195
25003,44385,200
25003,45420,203
25003,46225,209
25003,51580,225
25003,53050,233
25003,53960,236
25003,56795,249
25003,59665,260
25003,60225,263
25003,61065,267
25003,67595,283
25003,71095,302
25003,73335,313
25003,77990,326
25003,79985,341
25003,80685,345
25005,00520,3
25005,02690,16
25005,05280,27
25005,16425,72
25005,16950,76
25005,20100,88
25005,22130,94
25005,23000,95
25005,25240,102
25005,38225,167
25005,45000,201
25005,46575,211
25005,49970,218
25005,56060,245
25005,56375,247
25005,60645,265
25005,62430,273
25005,68750,292
25005,69170,293
25005,77570,334
25007,01585,104
25007,13800,62
25007,21150,89
25007,26325,109
25007,50390,221
25007,69940,296
25007,78235,327
25009,01260,7
25009,01465,9
25009,05595,30
25009,07420,38
25009,16250,71
25009,21850,92
25009,25625,105
25009,26150,107
25009,27620,116
25009,27900,119
25009,29405,128
25009,32310,144
25009,34550,149
25009,37490,163
25009,37560,164
25009,37995,166
25009,38400,168
25009,40430,180
25009,40710,181
25009,41095,184
25009,43580,196
25009,45175,205
25009,45245,206
25009,46365,210
25009,52490,229
25009,57880,252
25009,58405,254
25009,59105,258
25009,59245,259
25009,60015,262
25009,68645,291
25009,70150,298
25009,74595,320
25009,77150,324
25011,02095,13
25011,05560,29
25011,09595,47
25011,12505,53
25011,14885,66
25011,15200,68
25011,16670,74
25011,21780,91
25011,25730,106
25011,27100,114
25011,29475,129
25011,29650,130
25011,35180,154
25011,35285,156
25011,42040,190
25011,42285,192
25011,45490,204
25011,47835,217
25011,51265,223
25011,58335,253
25011,61135,268
25011,61905,272
25011,68400,289
25011,73265,312
25011,74525,319
25011,79110,337
25013,00840,5
25013,06085,33
25013,08470,43
25013,13485,59
25013,13660,61
25013,19645,85
25013,26675,112
25013,28075,120
25013,30665,135
25013,30840,137
25013,36300,159
25013,37175,161
25013,42145,191
25013,42530,194
25013,52144,227
25013,58650,256
25013,65825,279
25013,67000,281
25013,70045,297
25013,72390,306
25013,76030,329
25013,77890,325
25013,79740,339
25015,01325,8
25015,04825,24
25015,13590,60
25015,16040,69
25015,19370,87
25015,26290,108
25015,26535,111
25015,27690,117
25015,29265,127
25015,31785,143
25015,40990,183
25015,46330,214
25015,52560,230
25015,54030,237
25015,62745,276
25015,64145,275
25015,72880,309
25015,76380,331
25015,79915,340
25015,82175,349
25017,00380,2
25017,01605,10
25017,01955,12
25017,02130,14
25017,03005,19
25017,04615,23
25017,05070,26
25017,05805,31
25017,07350,37
25017,09840,48
25017,11000,49
25017,11525,51
25017,13135,56
25017,15060,67
25017,17475,79
25017,17825,81
25017,21990,93
25017,24925,100
25017,27480,115
25017,30700,136
25017,31085,139
25017,31540,141
25017,35215,155
25017,35425,157
25017,35950,158
25017,37000,160
25017,37875,165
25017,38715,170
25017,39625,174
25017,39835,176
25017,40115,178
25017,43895,198
25017,45560,207
25017,48955,213
25017,52805,232
25017,56130,246
25017,61380,269
25017,61590,270
25017,62535,274
25017,67665,284
25017,68050,286
25017,68260,288
25017,69415,295
25017,70360,299
25017,71025,301
25017,72215,305
25017,72600,308
25017,73440,314
25017,73790,315
25017,76135,330
25017,77255,333
25017,80230,342
25017,80510,344
25017,81035,347
25019,43790,197
25021,02935,18
25021,04930,25
25021,07740,40
25021,09175,46
25021,11315,50
25021,14640,65
25021,16495,73
25021,17405,78
25021,24820,99
25021,25172,101
25021,30455,133
25021,39765,175
25021,39975,177
25021,41515,187
25021,41690,189
25021,44105,199
25021,46050,208
25021,50250,220
25021,54100,238
25021,55745,243
25021,55955,244
25021,60785,266
25021,67945,285
25021,72495,307
25021,74175,317
25021,78690,335
25021,78972,336
25021,82315,350
25023,00170,1
25023,08085,42
25023,09000,44
25023,11665,52
25023,17895,82
25023,18455,83
25023,27795,118
25023,28285,122
25023,28495,123
25023,30210,131
25023,31645,142
25023,33220,145
25023,33920,146
25023,38540,169
25023,38855,171
25023,39450,173
25023,40850,182
25023,50145,219
25023,52630,231
25023,54310,239
25023,54415,240
25023,57600,250
25023,57775,251
25023,60330,264
25023,72985,310
25023,75260,322
25023,79530,338
25025,07000,35
25025,13205,57
25025,56585,248
25025,81005,346
25027,01885,11
25027,02480,15
25027,02760,17
25027,03740,21
25027,05490,28
25027,06015,32
25027,06365,34
25027,07525,39
25027,09105,45
25027,12715,54
25027,14395,64
25027,17300,77
25027,17685,80
25027,18560,84
25027,23875,97
25027,25485,103
25027,26430,110
25027,28740,124
25027,28950,125
25027,30560,134
25027,30945,138
25027,31435,140
25027,34165,147
25027,34795,151
25027,35075,153
25027,37420,162
25027,40255,179
25027,41165,185
25027,41340,186
25027,41585,188
25027,45105,202
25027,46820,215
25027,46925,216
25027,47135,212
25027,50670,222
25027,51825,226
25027,52420,228
25027,53120,234
25027,53225,235
25027,55395,241
25027,58580,255
25027,58825,257
25027,61800,271
25027,63165,277
25027,63345,278
25027,66105,280
25027,67385,282
25027,68155,287
25027,68610,290
25027,69275,294
25027,71480,303
25027,71620,304
25027,73090,311
25027,73895,316
25027,75015,328
25027,75155,321
25027,75400,323
25027,77010,332
25027,80405,343
25027,82000,348
