admin3_id,admin3_id_admin2
US-MA-ABI,1
US-MA-ACT,2
US-MA-ACU,3
US-MA-ADA,4
US-MA-AGA,5
US-MA-ALF,6
US-MA-AMH,8
US-MA-AND,9
US-MA-AQU,104
US-MA-ARL,10
US-MA-ASD,13
US-MA-ASH,14
US-MA-ASM,11
US-MA-ASY,12
US-MA-ATH,15
US-MA-AME,7
US-MA-ATT,16
US-MA-AUB,17
US-MA-AVO,18
US-MA-AYE,19
US-MA-BAR,21
US-MA-BAR,20
US-MA-BEC,22
US-MA-BED,23
US-MA-BEL,24
US-MA-BEM,25
US-MA-BEN,29
US-MA-BER,28
US-MA-BEL,26
US-MA-BEV,30
US-MA-BER,27
US-MA-BIL,31
US-MA-BLA,32
US-MA-BLD,33
US-MA-BOH,37
US-MA-BOL,34
US-MA-BOS,35
US-MA-BOU,36
US-MA-BOX,38
US-MA-BOY,39
US-MA-BRD,45
US-MA-BRE,41
US-MA-BRI,43
US-MA-BRN,44
US-MA-BRO,46
US-MA-BRA,40
US-MA-BRI,42
US-MA-BUC,47
US-MA-BUR,48
US-MA-CAE,51
US-MA-CAM,49
US-MA-CAN,50
US-MA-CAR,52
US-MA-CHA,54
US-MA-CHD,60
US-MA-CHE,57
US-MA-CHI,61
US-MA-CHK,62
US-MA-CHD,56
US-MA-CHM,55
US-MA-CHR,59
US-MA-CHS,58
US-MA-CHT,53
US-MA-CLA,63
US-MA-CLI,64
US-MA-COH,65
US-MA-COL,66
US-MA-CON,67
US-MA-COY,68
US-MA-CUM,69
US-MA-DAL,70
US-MA-DAN,71
US-MA-DAR,72
US-MA-DED,73
US-MA-DEE,74
US-MA-DEN,75
US-MA-DIG,76
US-MA-DOU,77
US-MA-DOV,78
US-MA-DRA,79
US-MA-DUD,80
US-MA-DUN,81
US-MA-DUX,82
US-MA-EAM,86
US-MA-EAS,88
US-MA-EAN,87
US-MA-EBO,84
US-MA-EBR,83
US-MA-EDG,89
US-MA-EGR,90
US-MA-ELO,85
US-MA-ERV,91
US-MA-ESS,92
US-MA-EVE,93
US-MA-FAI,94
US-MA-FAL,96
US-MA-FAR,95
US-MA-FIT,97
US-MA-FLO,98
US-MA-FOX,99
US-MA-FRA,100
US-MA-FRE,102
US-MA-FRN,101
US-MA-GAR,103
US-MA-GBA,113
US-MA-GEO,105
US-MA-GIL,106
US-MA-GLO,107
US-MA-GOD,109
US-MA-GOS,108
US-MA-GRA,112
US-MA-GRD,116
US-MA-GRE,114
US-MA-GRN,110
US-MA-GRO,115
US-MA-GRY,111
US-MA-HAD,117
US-MA-HAR,126
US-MA-HAK,124
US-MA-HAL,118
US-MA-HAM,119
US-MA-HAN,122
US-MA-HAR,125
US-MA-HAT,127
US-MA-HAV,128
US-MA-HAW,129
US-MA-HEA,130
US-MA-HIE,132
