admin3_id,TOWN
US-ME-ACT,Acton
US-ME-ADD,Addison
US-ME-ALE,Alexander
US-ME-ALF,Alfred
US-ME-ALN,Alna
US-ME-AMH,Amherst
US-ME-ANS,Anson
US-ME-APP,Appleton
US-ME-ARR,Arrowsic
US-ME-ARU,Arundel
US-ME-AUB,Auburn
US-ME-AUG,Augusta
US-ME-AUR,Aurora
US-ME-BAI,Baileyville
US-ME-BAL,Baldwin
US-ME-BAN,Bangor
US-ME-BAH,Bar Harbor
US-ME-BAT,Bath
US-ME-BEA,Beals
US-ME-BED,Beddington
US-ME-BEL,Belfast
US-ME-BER,Berwick
US-ME-BET,Bethel
US-ME-BID,Biddeford
US-ME-BIN,Bingham
US-ME-BLH,Blue Hill
US-ME-BOO,Boothbay
US-ME-BOH,Boothbay Harbor
US-ME-BOW,Bowdoin
US-ME-BOM,Bowdoinham
US-ME-BOK,Bowerbank
US-ME-BRA,Bradley
US-ME-BRM,Bremen
US-ME-BRE,Brewer
US-ME-BRI,Bridgton
US-ME-BRL,Bristol
US-ME-BRN,Brooklin
US-ME-BRS,Brooks
US-ME-BRK,Brooksville
US-ME-BRU,Brunswick
US-ME-BUD,Buckfield
US-ME-BUC,Bucksport
US-ME-BUN,Burlington
US-ME-BUX,Buxton
US-ME-CAL,Calais
US-ME-CAM,Camden
US-ME-CNT,Canton
US-ME-CAE,Cape Elizabeth
US-ME-CAR,Caribou
US-ME-CAV,Carrabassett Valley
US-ME-CRT,Carthage
US-ME-CAS,Casco
US-ME-CAS,Castine
US-ME-CAH,Castle Hill
US-ME-CHN,Chapman
US-ME-CHA,Charlotte
US-ME-CHE,Chelsea
US-ME-CHD,Cherryfield
US-ME-CHS,Chesterville
US-ME-CHI,China
US-ME-CLN,Clifton
US-ME-CLI,Clinton
US-ME-COL,Columbia
US-ME-COF,Columbia Falls
US-ME-COO,Cooper
US-ME-COR,Corinth
US-ME-CRI,Cranberry Isles
US-ME-CRA,Crawford
US-ME-CRY,Crystal
US-ME-CUM,Cumberland
US-ME-CUS,Cushing
US-ME-CUT,Cutler
US-ME-DAM,Damariscotta
US-ME-DAN,Danforth
US-ME-DAY,Dayton
US-ME-DEB,Deblois
US-ME-DED,Dedham
US-ME-DEI,Deer Isle
US-ME-DEN,Denmark
US-ME-DEE,Dennysville
US-ME-DET,Detroit
US-ME-DEX,Dexter
US-ME-DIX,Dixfield
US-ME-DIT,Dixmont
US-ME-DOF,Dover-Foxcroft
US-ME-DRE,Dresden
US-ME-DUR,Durham
US-ME-EMI,Easr Millinocket
US-ME-EMA,East Machias
US-ME-EMI,East Milinocket
US-ME-EMI,East Millinocket
US-ME-EMI,East Millinocket'
US-ME-EAK,Eastbrook
US-ME-EAN,Easton
US-ME-EAS,Eastport
US-ME-EDD,Eddington
US-ME-EDG,Edgecomb
US-ME-ELI,Eliot
US-ME-ELL,Ellsworth
US-ME-EUS,Eustis
US-ME-FAI,Fairfield
US-ME-FAL,Falmouth
US-ME-FAR,Farmington
US-ME-FAY,Fayette
US-ME-FOF,Fort Fairfield
US-ME-FOK,Fort Kent
US-ME-FRA,Franklin
US-ME-FRM,Freedom
US-ME-FRE,Freeport
US-ME-FRO,Frenchboro
US-ME-FRI,Friendship
US-ME-FRY,Fryeburg
US-ME-GAR,Gardiner
US-ME-GEO,Georgetown
US-ME-GIL,Gilead
US-ME-GLE,Glenburn
US-ME-GOR,Gorham
US-ME-GOU,Gouldsboro
US-ME-GRA,Gray
US-ME-GPO,Great Pond
US-ME-GRH,Greenbush
US-ME-GRE,Greene
US-ME-GRN,Greenville
US-ME-GRD,Greenwood
US-ME-HAL,Hallowell
US-ME-HAM,Hampden
US-ME-HAN,Hancock
US-ME-HAN,Hanover
US-ME-HAR,Harpswell
US-ME-HRN,Harrington
US-ME-HRS,Harrison
US-ME-HRT,Hartford
US-ME-HEB,Hebron
US-ME-HER,Hermon
US-ME-HEY,Hersey
