county_name,admin3_id
ALAMANCE,US-NC-AA
ALEXANDER,US-NC-AE
ALLEGHANY,US-NC-AL
ANSON,US-NC-AN
ASHE,US-NC-AS
AVERY,US-NC-AV
BEAUFORT,US-NC-BA
BURKE,US-NC-BK
BLADEN,US-NC-BL
BUNCOMBE,US-NC-BO
BRUNSWICK,US-NC-BS
BERTIE,US-NC-BT
CATAWBA,US-NC-CB
CAMDEN,US-NC-CD
CARTERET,US-NC-CE
CHATHAM,US-NC-CH
CURRITUCK,US-NC-CI
CALDWELL,US-NC-CL
COLUMBUS,US-NC-CM
CRAVEN,US-NC-CN
CHEROKEE,US-NC-CO
CABARRUS,US-NC-CR
CASWELL,US-NC-CS
CUMBERLAND,US-NC-CU
CLEVELAND,US-NC-CV
CHOWAN,US-NC-CW
CLAY,US-NC-CY
DAVIDSON,US-NC-DD
DARE,US-NC-DE
DURHAM,US-NC-DH
DUPLIN,US-NC-DP
DAVIE,US-NC-DV
EDGECOMBE,US-NC-ED
FORSYTH,US-NC-FO
FRANKLIN,US-NC-FR
GREENE,US-NC-GE
GRAHAM,US-NC-GH
GRANVILLE,US-NC-GN
GASTON,US-NC-GS
GATES,US-NC-GT
GUILFORD,US-NC-GU
HERTFORD,US-NC-HD
HYDE,US-NC-HE
HALIFAX,US-NC-HL
HENDERSON,US-NC-HN
HOKE,US-NC-HO
HARNETT,US-NC-HT
HAYWOOD,US-NC-HW
IREDELL,US-NC-IR
JACKSON,US-NC-JA
JOHNSTON,US-NC-JH
JONES,US-NC-JN
LEE,US-NC-LE
LINCOLN,US-NC-LI
LENOIR,US-NC-LN
MECKLENBURG,US-NC-MB
MADISON,US-NC-MD
MOORE,US-NC-ME
MITCHELL,US-NC-MI
MACON,US-NC-MN
MONTGOMERY,US-NC-MO
MARTIN,US-NC-MR
MCDOWELL,US-NC-MW
NASH,US-NC-NA
NEW HANOVER,US-NC-NE
NORTHAMPTON,US-NC-NO
ONSLOW,US-NC-ON
ORANGE,US-NC-OR
PENDER,US-NC-PD
PITT,US-NC-PI
PAMLICO,US-NC-PM
PERSON,US-NC-PN
POLK,US-NC-PO
PERQUIMANS,US-NC-PQ
PASQUOTANK,US-NC-PU
RANDOLPH,US-NC-RA
ROBESON,US-NC-RB
ROCKINGHAM,US-NC-RC
RICHMOND,US-NC-RI
RUTHERFORD,US-NC-RU
ROWAN,US-NC-RW
SCOTLAND,US-NC-SC
STANLY,US-NC-SN
STOKES,US-NC-SO
SAMPSON,US-NC-SP
SURRY,US-NC-SU
SWAIN,US-NC-SW
TRANSYLVANIA,US-NC-TR
TYRRELL,US-NC-TY
UNION,US-NC-UN
VANCE,US-NC-VA
WILKES,US-NC-WE
WASHINGTON,US-NC-WI
WAKE,US-NC-WK
WILSON,US-NC-WO
WARREN,US-NC-WR
WATAUGA,US-NC-WT
WAYNE,US-NC-WY
YADKIN,US-NC-YD
YANCEY,US-NC-YN
