admin3_id,townid
US-NH-ACW,4001
US-NH-ALB,4002
US-NH-ALE,4003
US-NH-ALL,4004
US-NH-ALS,4005
US-NH-ALT,4006
US-NH-AMH,4007
US-NH-AND,4008
US-NH-ANT,4009
US-NH-ASH,4010
US-NH-ATK,4011
US-NH-AUB,4012
US-NH-BAD,4013
US-NH-BAR,4014
US-NH-BAR,4015
US-NH-BAT,4016
US-NH-BED,4017
US-NH-BEL,4018
US-NH-BEN,4019
US-NH-BNT,4020
US-NH-BER,4021
US-NH-BET,4022
US-NH-BOS,4023
US-NH-BOW,4024
US-NH-BRA,4025
US-NH-BRE,4026
US-NH-BRR,4027
US-NH-BRI,4028
US-NH-BRD,4029
US-NH-BRO,4030
US-NH-CAM,4031
US-NH-CAA,4032
US-NH-CAN,4033
US-NH-CAY,4034
US-NH-CAR,4035
US-NH-CEH,4036
US-NH-CHA,4037
US-NH-CHM,4038
US-NH-CHE,4039
US-NH-CHD,4040
US-NH-CHI,4041
US-NH-CLA,4042
US-NH-CLE,4043
US-NH-COL,4044
US-NH-COA,4045
US-NH-CON,4046
US-NH-COY,4047
US-NH-COR,4048
US-NH-CRO,4049
US-NH-DAL,4050
US-NH-DAY,4051
US-NH-DAN,4052
US-NH-DEE,4053
US-NH-DEG,4054
US-NH-DER,4055
US-NH-DOR,4057
US-NH-DOV,4058
US-NH-DUB,4059
US-NH-DUM,4060
US-NH-DUN,4061
US-NH-DUR,4062
US-NH-EKI,4063
US-NH-EAS,4064
US-NH-EAT,4065
US-NH-EFF,4066
US-NH-ELL,4067
US-NH-ENF,4068
US-NH-EPP,4069
US-NH-EPS,4070
US-NH-ERR,4071
US-NH-EXE,4072
US-NH-FAR,4073
US-NH-FIT,4074
US-NH-FRN,4075
US-NH-FRC,4076
US-NH-FRA,4077
US-NH-FRM,4078
US-NH-FRE,4079
US-NH-GIL,4080
US-NH-GIN,4081
US-NH-GIM,4082
US-NH-GOF,4083
US-NH-GOR,4084
US-NH-GOS,4085
US-NH-GRA,4086
US-NH-GRA,4087
US-NH-GRD,4088
US-NH-GRE,4089
US-NH-GRN,4090
US-NH-GRO,4091
US-NH-HAD,4092
US-NH-HAM,4093
US-NH-HAF,4094
US-NH-HAK,4095
US-NH-HAN,4096
US-NH-HAR,4097
US-NH-HSL,4098
US-NH-HAV,4099
US-NH-HEB,4100
US-NH-HEN,4101
US-NH-HLL,4102
US-NH-HIL,4103
US-NH-HIN,4104
