admin3_id,County
US-OH-AS,Ashtabula
US-OH-AD,Adams
US-OH-AH,Ashland
US-OH-AL,Allen
US-OH-AT,Athens
US-OH-AU,Auglaize
US-OH-BE,Belmont
US-OH-BR,Brown
US-OH-BU,Butler
US-OH-CL,Clermont
US-OH-CR,Crawford
US-OH-CH,Champaign
US-OH-CI,Clinton
US-OH-CA,Clark
US-OH-CO,Columbiana
US-OH-AR,Carroll
US-OH-CS,Coshocton
US-OH-CU,Cuyahoga
US-OH-DA,Darke
US-OH-DF,Defiance
US-OH-DE,Delaware
US-OH-ER,Erie
US-OH-FA,Fairfield
US-OH-FR,Franklin
US-OH-FU,Fulton
US-OH-FY,Fayette
US-OH-GA,Gallia
US-OH-GE,Geauga
US-OH-GR,Greene
US-OH-GU,Guernsey
US-OH-HC,Hocking
US-OH-HR,Hardin
US-OH-HE,Henry
US-OH-HI,Highland
US-OH-HO,Holmes
US-OH-HA,Hamilton
US-OH-HN,Hancock
US-OH-HS,Harrison
US-OH-HU,Huron
US-OH-JA,Jackson
US-OH-JE,Jefferson
US-OH-KN,Knox
US-OH-LG,Logan
US-OH-LI,Licking
US-OH-LA,Lake
US-OH-LO,Lorain
US-OH-LU,Lucas
US-OH-LW,Lawrence
US-OH-OR,Morgan
US-OH-MC,Mercer
US-OH-ME,Medina
US-OH-MN,Monroe
US-OH-MA,Mahoning
US-OH-MI,Miami
US-OH-MD,Madison
US-OH-MR,Marion
US-OH-MG,Meigs
US-OH-MO,Montgomery
US-OH-MU,Muskingum
US-OH-MW,Morrow
US-OH-NO,Noble
US-OH-OT,Ottawa
US-OH-PA,Paulding
US-OH-PI,Pickaway
US-OH-PE,Perry
US-OH-PK,Pike
US-OH-PO,Portage
US-OH-PR,Preble
US-OH-PU,Putnam
US-OH-RI,Richland
US-OH-RO,Ross
US-OH-SA,Sandusky
US-OH-SC,Scioto
US-OH-SE,Seneca
US-OH-SH,Shelby
US-OH-ST,Stark
US-OH-SU,Summit
US-OH-TR,Trumbull
US-OH-TU,Tuscarawas
US-OH-UN,Union
US-OH-VW,Van Wert
US-OH-VI,Vinton
US-OH-WN,Wyandot
US-OH-WY,Wayne
US-OH-WI,Williams
US-OH-WO,Wood
US-OH-WA,Warren
US-OH-WS,Washington
