LANDUSE,NAME
E26,MUNICIPAL WATER
E27,STATE GAMELAND
E28,RAILROAD RIGHT OF WAY
L01,BLDG LOT UNDER 1 ACRE
L02,BLDG LOT 1 TO 5 ACRES
L03,BLDG LOT OVER 5 ACRES
L04,RESIDENTIAL DEV LAND
L05,COMMERCIAL LAND
L06,INDUSTRIAL LAND
L07,FARM LAND UNIMPROVED
L08,FARM LAND WITH BUILDINGS
L09,MOUNTAINLAND/TIMBERLAND
L10,QUARRY/MINERAL LANDS
L11,LANDFILL
L12,MISCELLANEOUS LAND
L13,MOBILE HOME SITE
L14,UNBUILDABLE LOT
L15,PRD COMMON AREA
L16,AIR RIGHTS
P01,CABIN/COTTAGE
P02,GOLF COURSE
P03,CAMP SITES
P04,RECREATIONAL PARKS
P05,SWIM CLUBS
P06,MARINA
P07,INDOOR SPORTS FACILITY
P08,MISC RECREATIONAL
R01,1 STORY RESIDENCE
R02,1.5 STORY STORY RESIDENCE
R03,2 STORY RESIDENCE
R04,3 STORY RESIDENCE
R05,SPLIT LEVEL RESIDENCE
R06,BI LEVEL RESIDENCE
R07,CONDOMINIUM
R08,MODULAR RESIDENCE
R09,MOBILE HOME
R10,COUNTRY EST TO 10 ACRES
R11,APTS 4 OR LESS UNITS
R12,APTS 4 TO 10 UNITS
R13,APTS OVER 10 UNITS
R14,MISC RESIDENTIAL
R15,MULTIPLE DWELLINGS
R16,UNHABITABLE DWELLING
R17,GROUP RESIDENCE
R18,TIME SHARE CONDOMINIUM
U01,WATER COMPANY
U02,GAS COMPANY
U03,ELECTRIC COMPANY
U04,TELEPHONE/TELEGRAPH COMPANY
U05,OIL COMPANY
U06,RAILROAD
U07,MISC PUBLIC UTILITY
U08,PIPELINE
C35,PILOT COURT ORDERED
C36,KEYSTONE OPP ZONE
E29,PILOT PROGRAM
L17,NON ACTIVE
R33,2 1/2 STORY HOUSE
R20,PUD/PRD
C01,OFFICE
C02,STORE/RETAIL STORE/RETAIL
C03,SHOPPING CENTER
C04,STORE/OFFICE WITH APTS
C05,MEDICAL OFFICE
C06,FINANCIAL INSTITUTION
C07,CONDOMINIUM OFFICE
C08,RESTAURANT/TAVERN
C09,FAST FOOD RESTAURANT
C10,GAS STATION
C11,COMM GARAGE/AUTO DEALER
C12,LODGING FACILITY
C13,PRIVATE EDUC FACILITY
C14,MOBILE HOME PARK
C15,PARKING LOT/GARAGE
C16,COMMUNICATIONS FACILITY
C17,PVT CARE/NURSING HOME
C18,FUNERAL HOME
C19,THEATRE
C20,RACE TRACK
C21,TRUCK TERMINAL
C22,WHSE/IND TO 10000 SQ FT
C23,WHSE/IND TO 10-50000 SQ FT
C24,WHSE/IND TO 50000-UP SQ FT
C25,COMMERCIAL/INDUST MISC
C26,DINER
C27,CARWASH
C28,LAUNDROMAT
C29,HOSPITAL/CLINIC
C30,UNUSABLE COMMERCIAL
C31,ELECTRIC GENERATING CO
C32,CELL/COMMUNICATION TOWER
C33,TAX INCREMENT FINANCING OFFICE
C34,TAX INCREMENT FINANCING SHOPPING CENTER
E01,CHURCH EXEMPT
E02,HOSPITAL/CLINIC EXEMPT
E18,STATE/GOVT BLDGS EXEMPT
E17,WASTE TREATMENT EXEMPT
E16,POST OFFICE EXEMPT
E15,AIRPORT EXEMPT
E14,FAIRGROUND/HALL EXEMPT
E13,RESIDENTIAL EXEMPT
E12,PARK/RECREATION EXEMPT
E11,LIBRARY EXEMPT
E10,MISC EXEMPT
E09,EXTENED CARE EXEMPT
E08,MUNICIPAL EXEMPT
E07,LEGION/VFW/CLUB EXEMPT
E06,FIRE HOUSE EXEMPT
E05,PARKING LOT EXEMPT
E04,VACANT EXEMPT
E03,EDUCATIONAL EXEMPT
E19,DWELLING DISABLE VET
E20,CEMETARY
E21,REDEVELOPMENT AUTHORITY
E22,GROUP RESIDENCE
E23,EMERGENCY MEDICAL
E24,HISTORIC SITE
E25,COMMUNITY CENTER
