admin3_id,county_name
US-PA-AD,Adams
US-PA-AL,Allegheny
US-PA-BD,Bedford
US-PA-BE,Berks
US-PA-BL,Blair
US-PA-BR,Bradford
US-PA-BU,Bucks
US-PA-BT,Butler
US-PA-CA,Cambria
US-PA-CI,Centre
US-PA-CH,Chester
US-PA-CO,Columbia
US-PA-CR,Crawford
US-PA-CU,Cumberland
US-PA-ER,Erie
US-PA-FA,Fayette
US-PA-FO,Forest
US-PA-FR,Franklin
US-PA-FU,Fulton
US-PA-IN,Indiana
US-PA-JU,Juniata
US-PA-LA,Lancaster
US-PA-LE,Lehigh
US-PA-LY,Lycoming
US-PA-ME,Mercer
US-PA-MI,Mifflin
US-PA-MN,Monroe
US-PA-MT,Montgomery
US-PA-MT,Montour
US-PA-PE,Perry
US-PA-PH,Philadelphia
US-PA-SN,Snyder
US-PA-UN,Union
US-PA-VE,Venango
US-PA-WR,Warren
US-PA-WA,Washington
US-PA-WY,Wyoming
US-PA-YO,York
