admin3_id,county_name
US-TN-AN,Anderson
US-TN-BD,Bedford
US-TN-BN,Benton
US-TN-BE,Bledsoe
US-TN-BO,Blount
US-TN-BR,Bradley
US-TN-CM,Campbell
US-TN-CN,Cannon
US-TN-CR,Carroll
US-TN-CT,Carter
US-TN-CA,Cheatham
US-TN-CI,Claiborne
US-TN-CY,Clay
US-TN-CE,Cocke
US-TN-CF,Coffee
US-TN-CK,Crockett
US-TN-CU,Cumberland
US-TN-DE,DeKalb
US-TN-DC,Decatur
US-TN-DI,Dickson
US-TN-DY,Dyer
US-TN-FA,Fayette
US-TN-FE,Fentress
US-TN-FR,Franklin
US-TN-GB,Gibson
US-TN-GL,Giles
US-TN-GA,Grainger
US-TN-GE,Greene
US-TN-GU,Grundy
US-TN-HB,Hamblen
US-TN-HC,Hancock
US-TN-HA,Hardeman
US-TN-HI,Hardin
US-TN-HW,Hawkins
US-TN-HY,Haywood
US-TN-HS,Henderson
US-TN-HR,Henry
US-TN-HO,Houston
US-TN-HU,Humphreys
US-TN-JA,Jackson
US-TN-JE,Jefferson
US-TN-JO,Johnson
US-TN-LK,Lake
US-TN-LU,Lauderdale
US-TN-LW,Lawrence
US-TN-LE,Lewis
US-TN-LI,Lincoln
US-TN-LO,Loudon
US-TN-MC,Macon
US-TN-MD,Madison
US-TN-MI,Marion
US-TN-MS,Marshall
US-TN-MU,Maury
US-TN-MM,McMinn
US-TN-MA,McNairy
US-TN-ME,Meigs
US-TN-MR,Monroe
US-TN-MO,Moore
US-TN-MG,Morgan
US-TN-OB,Obion
US-TN-OV,Overton
US-TN-PE,Perry
US-TN-PI,Pickett
US-TN-PO,Polk
US-TN-PU,Putnam
US-TN-RH,Rhea
US-TN-RA,Roane
US-TN-RB,Robertson
US-TN-SC,Scott
US-TN-SQ,Sequatchie
US-TN-SV,Sevier
US-TN-SH,Smith
US-TN-SA,Stewart
US-TN-SL,Sullivan
US-TN-SN,Sumner
US-TN-TI,Tipton
US-TN-TR,Trousdale
US-TN-UC,Unicoi
US-TN-UO,Union
US-TN-VA,Van Buren
US-TN-WR,Warren
US-TN-WI,Washington
US-TN-WY,Wayne
US-TN-WE,Weakley
US-TN-WH,White
US-TN-WO,Wilson
