county_name,admin3_id
ANDERSON,US-TX-AND
ANGELINA,US-TX-ANG
ANDREWS,US-TX-ANS
ARANSAS,US-TX-ARA
ARCHER,US-TX-ARC
ARMSTRONG,US-TX-ARM
ATASCOSA,US-TX-ATA
AUSTIN,US-TX-AUS
BAILEY,US-TX-BAI
BANDERA,US-TX-BAN
BASTROP,US-TX-BAS
BAYLOR,US-TX-BAY
BEE,US-TX-BEE
BELL,US-TX-BEL
BEXAR,US-TX-BEX
BLANCO,US-TX-BLA
BORDEN,US-TX-BOR
BOSQUE,US-TX-BOS
BOWIE,US-TX-BOW
BRAZORIA,US-TX-BRA
BREWSTER,US-TX-BRE
BRISCOE,US-TX-BRI
BROOKS,US-TX-BRK
BROWN,US-TX-BRO
BRAZOS,US-TX-BRS
BURLESON,US-TX-BUN
BURNET,US-TX-BUR
CALDWELL,US-TX-CAL
CAMERON,US-TX-CAM
CALHOUN,US-TX-CAN
CASTRO,US-TX-CAO
CAMP,US-TX-CAP
CARSON,US-TX-CAR
CASS,US-TX-CAS
CHAMBERS,US-TX-CHA
CHEROKEE,US-TX-CHE
CHILDRESS,US-TX-CHI
CLAY,US-TX-CLA
CALLAHAN,US-TX-CLH
COLEMAN,US-TX-CLM
COLORADO,US-TX-CLR
COCHRAN,US-TX-COC
COMANCHE,US-TX-COE
COLLINGSWORTH,US-TX-COH
COKE,US-TX-COK
COLLIN,US-TX-COL
COMAL,US-TX-COM
CONCHO,US-TX-CON
COOKE,US-TX-COO
CORYELL,US-TX-COR
COTTLE,US-TX-COT
CRANE,US-TX-CRA
CROSBY,US-TX-CRO
CROCKETT,US-TX-CRT
CULBERSON,US-TX-CUL
DALLAS,US-TX-DAL
DALLAM,US-TX-DAM
DAWSON,US-TX-DAW
DELTA,US-TX-DEL
DENTON,US-TX-DEN
DEAF SMITH,US-TX-DES
DEWITT,US-TX-DEW
DICKENS,US-TX-DIC
DIMMIT,US-TX-DIM
DONLEY,US-TX-DON
DUVAL,US-TX-DUV
EASTLAND,US-TX-EAS
ECTOR,US-TX-ECT
EDWARDS,US-TX-EDW
ELLIS,US-TX-ELL
EL PASO,US-TX-ELP
ERATH,US-TX-ERA
FALLS,US-TX-FAL
