admin4_id,TOWN
US-VT-AD-AD,ADDISON
US-VT-AD-BI,BRISTOL
US-VT-AD-BR,BRIDPORT
US-VT-AD-CO,CORNWALL
US-VT-AD-FE,FERRISBURGH
US-VT-AD-GO,GOSHEN
US-VT-AD-GR,GRANVILLE
US-VT-AD-HA,HANCOCK
US-VT-AD-LE,LEICESTER
US-VT-AD-LI,LINCOLN
US-VT-AD-MI,MIDDLEBURY
US-VT-AD-MO,MONKTON
US-VT-AD-NH,NEW HAVEN
US-VT-AD-OR,ORWELL
US-VT-AD-PA,PANTON
US-VT-AD-RI,RIPTON
US-VT-AD-SA,SALISBURY
US-VT-AD-SH,SHOREHAM
US-VT-AD-ST,STARKSBORO
US-VT-AD-VE,VERGENNES
US-VT-AD-WA,WALTHAM
US-VT-AD-WE,WEYBRIDGE
US-VT-AD-WH,WHITING
US-VT-BE-AR,ARLINGTON
US-VT-BE-BE,BENNINGTON
US-VT-BE-DO,DORSET
US-VT-BE-GL,GLASTENBURY
US-VT-BE-LA,LANDGROVE
US-VT-BE-MA,MANCHESTER
US-VT-BE-PE,PERU
US-VT-BE-PO,POWNAL
US-VT-BE-RE,READSBORO
US-VT-BE-RU,RUPERT
US-VT-BE-SA,SANDGATE
US-VT-BE-SE,SEARSBURG
US-VT-BE-SH,SHAFTSBURY
US-VT-BE-ST,STAMFORD
US-VT-BE-SU,SUNDERLAND
US-VT-BE-WI,WINHALL
US-VT-BE-WO,WOODFORD
US-VT-CA-BA,BARNET
US-VT-CA-BU,BURKE
US-VT-CA-DA,DANVILLE
US-VT-CA-GR,GROTON
US-VT-CA-HA,HARDWICK
US-VT-CA-KI,KIRBY
US-VT-CA-LY,LYNDON
US-VT-CA-NE,NEWARK
US-VT-CA-PE,PEACHAM
US-VT-CA-RY,RYEGATE
US-VT-CA-SH,SHEFFIELD
US-VT-CA-SJ,SAINT JOHNSBURY
US-VT-CA-ST,STANNARD
US-VT-CA-SU,SUTTON
US-VT-CA-WA,WALDEN
US-VT-CA-WH,WHEELOCK
US-VT-CA-WT,WATERFORD
US-VT-CH-BO,BOLTON
US-VT-CH-BR,BURLINGTON
US-VT-CH-BU,BUELS GORE
US-VT-CH-CH,CHARLOTTE
US-VT-CH-CO,COLCHESTER
US-VT-CH-ES,ESSEX
US-VT-CH-HI,HINESBURG
US-VT-CH-HU,HUNTINGTON
US-VT-CH-JE,JERICHO
US-VT-CH-MI,MILTON
US-VT-CH-RI,RICHMOND
US-VT-CH-SB,SOUTH BURLINGTON
US-VT-CH-SG,SAINT GEORGE
US-VT-CH-SH,SHELBURNE
US-VT-CH-UN,UNDERHILL
US-VT-CH-WE,WESTFORD
US-VT-CH-WI,WILLISTON
US-VT-CH-WN,WINOOSKI
US-VT-ES-AE,AVERYS GORE
US-VT-ES-AV,AVERILL
US-VT-ES-BL,BLOOMFIELD
US-VT-ES-BR,BRIGHTON
US-VT-ES-BU,BRUNSWICK
US-VT-ES-CA,CANAAN
US-VT-ES-CO,CONCORD
US-VT-ES-EH,EAST HAVEN
US-VT-ES-FE,FERDINAND
US-VT-ES-GR,GRANBY
US-VT-ES-GU,GUILDHALL
US-VT-ES-LE,LEMINGTON
US-VT-ES-LU,LUNENBURG
US-VT-ES-LW,LEWIS
US-VT-ES-MA,MAIDSTONE
US-VT-ES-NO,NORTON
US-VT-ES-VI,VICTORY
US-VT-ES-WA,WARNERS GRANT
US-VT-ES-WR,WARREN GORE
US-VT-FR-BA,BAKERSFIELD
US-VT-FR-BE,BERKSHIRE
US-VT-FR-EN,ENOSBURGH
US-VT-FR-FA,FAIRFAX
US-VT-FR-FI,FAIRFIELD
US-VT-FR-FL,FLETCHER
US-VT-FR-FR,FRANKLIN
US-VT-FR-GE,GEORGIA
US-VT-FR-HI,HIGHGATE
US-VT-FR-MO,MONTGOMERY
US-VT-FR-RI,RICHFORD
US-VT-FR-SA,SAINT ALBANS CITY
US-VT-FR-SH,SHELDON
US-VT-FR-ST,SAINT ALBANS TOWN
