admin1_id,admin2_name_gadm,admin2_name_official,comment
US-AK,Prince of Wales-Outer Ketchi,Prince of Wales-Hyder,
US-AK,Skagway-Yakutat-Angoon,Yakutat,
US-AK,Valdez-Cordova,Copper River,
US-AK,Wade Hampton,Kusilvak,
US-AK,Wrangell-Petersburg,Wrangell,
US-AL,De Kalb,DeKalb,
US-IL,De Kalb,DeKalb,
US-IL,Dupage,DuPage,Could have been prevented by not enforcing title case
US-IL,La Salle,LaSalle,
US-IN,De Kalb,DeKalb,
US-LA,La Salle,LaSalle,
US-MO,De Kalb,DeKalb,
US-NM,Debaca,De Baca,
US-PA,Mc Kean,McKean,
US-SD,Shannon,Oglala Lakota,
US-VA,Bedford City,,Reintegrated into Bedford county
US-VA,Clifton Forge City,NULL,Reintegrated into Alleghany county
