admin3_id_admin1,admin3_id,name
02063,US-AK-CC,Chugach
02105,US-AK-HO,Hoohnah-Angoon
02195,US-AK-PB,Petersburg
02230,US-AK-SK,Skagway
02230,US-AK-YK,Yakutat
24510,US-MD-BC,Baltimore City
29510,US-MO-LC,St. Louis City
51620,US-VA-FL,Franklin City
51760,US-VA-RM,Richmond City
09110,US-CT-CA,Capitol
09120,US-CT-GB,Greater Bridgeport
09130,US-CT-LC,Lower Connecticut River Valley
09140,US-CT-NV,Naugatuck Valley
09150,US-CT-NE,Northeastern Connecticut
09160,US-CT-NW,Northwest Hills
09170,US-CT-SC,South Central Connecticut
09180,US-CT-SE,Southeastern Connecticut
09190,US-CT-WC,Western Connecticut
24005,US-MD-BA,Baltimore
51067,US-VA-FN,Franklin
51161,US-VA-RO,Roanoke
29189,US-MO-SL,St. Louis
51059,US-VA-FA,Fairfax
51159,US-VA-RC,Richmond
