code,label,content_to_structure_value,group
RES1-1SNB,"Single Family Residential, 1 story, no basement",0.5,Residential
RES1-1SWB,"Single Family Residential, 1 story, with basement",0.5,Residential
RES1-2SNB,"Single Family Residential, 2 story, no basement",0.5,Residential
RES1-2SWB,"Single Family Residential, 2 story, with basement",0.5,Residential
RES1-3SNB,"Single Family Residential, 3 story, no basement",0.5,Residential
RES1-3SWB,"Single Family Residential, 3 story, with basement",0.5,Residential
RES1-SLNB,"Single Family Residential, split-level, no basement",0.5,Residential
RES1-SLWB,"Single Family Residential, split-level, with basement",0.5,Residential
RES2,Manufactured Home,0.5,Residential
RES3A,Multi-Family housing 2 units,0.5,Residential
RES3B,Multi-Family housing 3-4 units,0.5,Residential
RES3C,Multi-Family housing 5-10 units,0.5,Residential
RES3D,Multi-Family housing 10-19 units,0.5,Residential
RES3E,Multi-Family housing 20-50 units,0.5,Residential
RES3F,Multi-Family housing 50 plus units,0.5,Residential
RES4,Average Hotel,0.5,Residential
RES5,Institutional Dormitory,0.5,Residential
RES6,Nursing Home,0.5,Residential
COM1,Average Retail,1,Commercial
COM2,Average Wholesale,1,Commercial
COM3,Average Personal & Repair Services,1,Commercial
COM4,Average Professional Technical Services,1,Commercial
COM5,Bank,1,Commercial
COM6,Hospital,1.5,Commercial
COM7,Average Medical Office,1.5,Commercial
COM8,Average Entertainment/Recreation,1,Commercial
COM9,Average Theater,1,Commercial
COM10,Garage,0.5,Commercial
IND1,Average Heavy Industrial,1.5,Industrial
IND2,Average light industrial,1.5,Industrial
IND3,Average Food/Drug/Chemical,1.5,Industrial
IND4,Average Metals/Minerals processing,1.5,Industrial
IND5,Average High Technology,1.5,Industrial
IND6,Average Construction,1,Industrial
AGR1,Average Agricultural,1,Commercial
REL1,Church,1,Commercial
GOV1,Average Government Services,1,Public
GOV2,Average Emergency Response,1.5,Public
EDU1,Average School,1,Public
EDU2,Average College/University,1.5,Public
