pattern,match_type,occupancy_type,reviewed
MANUFACTURED,contains,Manufactured Home,true
SINGLE WIDE,contains,Manufactured Home,true
DOUBLE WIDE,contains,Manufactured Home,true
TRIPLE WIDE,contains,Manufactured Home,true
\bMOBILE\b,regex,Manufactured Home,true
MAN-HOU,contains,Manufactured Home,false
MULTI[- ]?SECTION,regex,Manufactured Home,true
TOWNHOME|TOWNHOUSE|DUPLEX|TRIPLEX|QUADPLEX|APARTMENT|CONDO|MULTI|\bAPT\b|APART|TWO[ -]?FAM|\b2[ -]FAMILY\b,regex,Multi-Family,true
MULT-FAM,contains,Multi-Family,false
SINGL[E]?[ -]?FAM|SGL[ -]?FAM|\bSFH\b,regex,Single-Family,true
\b(?:ONE|1)[ -]FAMILY\b,regex,Single-Family,true
SFR,contains,Single-Family,true
\bMH\b,regex,Manufactured Home,false
MODULAR,contains,Single-Family,false
COMMERCIAL,contains,Commercial,false
BUSINESS,contains,Commercial,false
\bCOM\b,regex,Commercial,false
RETAIL,contains,Retail,false
