pattern,match_type,land_use_class
MH PARK|MOBILE HOME PARK|MANUFACTURED HOME PARK|TRAILER PARK|MOBILE HOME COURT,regex,Manufactured Home Park
MOBILE|MANUFACTURED|SINGLE WIDE|DOUBLE WIDE|MAN-HOU|MOHO,regex,Manufactured Home
\bRV\b|CAMPGROUND|MOTORHOME|RECREATIONAL VEHICLE,regex,RV Park
MULTIPLE HOUSES,contains,Multiple Single-Family
TOWNHOUSE|TOWNHOME|ROW HOUSE|ROW-HOUSE,regex,Townhome
CONDO,contains,Condominium
VACANT,contains,Vacant
HOSPITAL|NURSING|SCHOOL|MUNICIPAL|GOVERNMENT|RELIGIOUS|CHARITABLE|CHURCH|UNIVERSITY|COLLEGE,regex,Institutional
INDUSTRIAL|MANUFACTURING|WAREHOUSE,regex,Industrial
RETAIL|SHOPPING|SUPERMARKET|STORE,regex,Retail
OFFICE|BANK,regex,Office
COMMERCIAL|BUSINESS,regex,Commercial
