name,canonical_name,suffix,description,unit,raw_unit,aggregation,source
csd_id,census_subdivision_id,2016,Census county subdivision (town/township) identifier,,,first,NHGIS
tract_id,census_tract_id,2016,Census tract identifier,,,first,NHGIS
bg_id,census_blockgroup_id,2016,Census block group identifier,,,first,NHGIS
zip_id,postal_code,2016,ZIP code,,,first,NHGIS
clim_ppt_summer,precipitation_summer,,"Average precipitation, Jun-Aug (30yr normal)",mm,,mean,PRISM
clim_ppt_winter,precipitation_winter,,"Average precipitation, Dec-Feb (30yr normal)",mm,,mean,PRISM
clim_tmean_summer,temperature_mean_summer,,"Average temperature, Jun-Aug (30yr normal)",C,,mean,PRISM
clim_tmean_winter,temperature_mean_winter,,"Average temperature, Dec-Feb (30yr normal)",C,,mean,PRISM
slope,slope,,Average slope,deg,,mean,USGS NED
elev,elevation,,Average elevation,m,,mean,USGS NED
f_soil_local,soil_farmland_local_share,,Share classified as locally-important farmland soil,fraction (0-1),,mean,SSURGO
f_soil_prime,soil_farmland_prime_share,,Share classified as prime farmland soil,fraction (0-1),,mean,SSURGO
f_soil_statewide,soil_farmland_statewide_share,,Share classified as statewide-important farmland soil,fraction (0-1),,mean,SSURGO
travel,travel_time_to_city,,Travel time to nearest major city (ca. 2000),min,,mean,Nelson (2008)
p_barren,land_cover_barren_share,,Land cover share: barren (NLCD 2011),fraction (0-1),%,mean,NLCD
p_forest_d,land_cover_forest_deciduous_share,,Land cover share: deciduous forest (NLCD 2011),fraction (0-1),%,mean,NLCD
p_forest_e,land_cover_forest_evergreen_share,,Land cover share: evergreen forest (NLCD 2011),fraction (0-1),%,mean,NLCD
p_forest_m,land_cover_forest_mixed_share,,Land cover share: mixed forest (NLCD 2011),fraction (0-1),%,mean,NLCD
p_shrub,land_cover_shrubland_share,,Land cover share: shrub/scrub (NLCD 2011),fraction (0-1),%,mean,NLCD
p_grassland,land_cover_grassland_share,,Land cover share: grassland/herbaceous (NLCD 2011),fraction (0-1),%,mean,NLCD
p_pasture,land_cover_pasture_share,,Land cover share: pasture/hay (NLCD 2011),fraction (0-1),%,mean,NLCD
p_crops,land_cover_cropland_share,,Land cover share: cultivated cropland (NLCD 2011),fraction (0-1),%,mean,NLCD
bld_pop_exp_c4,population_gravity_index,exp_c4,Population gravity: exponential-decay-weighted residential population density from a building-footprint-distributed population raster,,,mean,PLACES lab
p_wet,wetland_share,,Share of parcel area covered by wetland polygons,fraction (0-1),%,mean,USFWS NWI
cst_2500,coastal_water_share,2500m,Share of coastal waters within a radius,fraction (0-1),%,mean,ESRI N.A. Water Polygons
cst_50,coastal_water_share,50m,Share of coastal waters within a radius,fraction (0-1),%,mean,ESRI N.A. Water Polygons
fld_fr_fath_f100,flood_depth_fluvial,100yr,"Average fluvial flood inundation depth, given return period",m,,mean,Fathom-US
fld_fr_fath_p100,flood_depth_pluvial,100yr,"Average pluvial flood inundation depth, given return period",m,,mean,Fathom-US
lake_frontage,lake_frontage,,Approximate lake frontage,m,,sum,NHDPlus HR
river_frontage,river_frontage,,Approximate river frontage,m,,sum,NHDPlus HR
lake_dist,lake_distance,,Distance to nearest lake larger than 4ha,m,,mean,NHDPlus HR
rd_dist_hwy,highway_distance,,Minimum distance to nearest highway,m,,mean,TIGER/Line
rd_dist_pvd,paved_road_distance,,Minimum distance to nearest paved road,m,,mean,TIGER/Line
p_bld_fp_1000,building_footprint_share,1000m,Share of area within a radius covered by building footprints,fraction (0-1),%,mean,MS Building Footprints
p_bld_fp_500,building_footprint_share,500m,Share of area within a radius covered by building footprints,fraction (0-1),%,mean,MS Building Footprints
p_bld_fp_5000,building_footprint_share,5000m,Share of area within a radius covered by building footprints,fraction (0-1),%,mean,MS Building Footprints
