admin_id,source_id,kind,pattern,conv,tolerance,source
US-FL-BR,fldor,parcel,,pipe,,
US-FL-CO,fldor,parcel,,pipe,,
US-FL-LV,fldor,parcel,,pipe,,
US-FL-GL,fldor,parcel,,simple,1,
US-FL-CA,fldor,parcel,,simple,1,
US-FL-HM,fldor,parcel,,simple,1,
US-FL-GI,fldor,parcel,,simple,1,
US-FL-BD,fldor,parcel,,simple,1,
US-FL-GU,fldor,parcel,,simple,1,
US-FL-DE,fldor,parcel,,simple,1,
US-FL-WK,fldor,parcel,,simple,1,
US-FL-CU,fldor,parcel,,simple,1,
US-FL-WS,fldor,parcel,,simple,1,
US-FL-OK,fldor,parcel,,simple,1,
US-FL-HE,fldor,parcel,,simple,1,
US-FL-TA,fldor,parcel,Sx-Sx,split_groups: 1|3 & skip_empty: 1,1,
US-FL-AL,fldor,parcel,Sx-Sx-Sx,split_groups: 2|3 & keep_length: 1 2_0 & merge_after: 0 0 & skip_empty: 1,1,
US-FL-OS,fldor,parcel,Sx,string_lengths: 1 2 2 2 3 4 4 & skip_empty: 1,1,
US-FL-SA,fldor,parcel,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,1,
US-FL-OR,fldor,parcel,Dx,string_lengths: 2 2 2 4 2 3 & skip_empty: 1,,
US-FL-HO,fldor,parcel,,simple,1,
US-FL-MR,fldor,parcel,,simple,1,
US-FL-LA,fldor,parcel,,simple,1,
