admin_id,source_id,kind,pattern,conv,tolerance
US-WI-DA,,tax,Sx/Dx,drop_cols: 0 & skip_empty: 1,
US-WI-ON,,tax,Sx-[S.]x(-Sx)(-Sx)(-Sx),skip_empty: 1,
US-WI-VI,,tax,Sx-[S.]x(-Sx)(-Sx)(-Sx),skip_empty: 1,0.03
US-WI-AS,,tax,,simple,
US-WI-BF,,tax,,simple,
US-WI-DU,,tax,,simple,
US-WI-GE,,tax,,simple,
US-WI-MA,,tax,,simple,
US-WI-MN,,tax,,simple,
US-WI-SW,,tax,,simple,
US-WI-SY,,tax,,simple,
US-WI-TA,,tax,,simple,
US-WI-TR,,tax,,simple,
US-WI-VE,,tax,,simple,
US-WI-WI,,tax,,simple_clean: trim_zero_pairs,1
US-WI-JU,,tax,,simple_clean: drop_inner_letters trim_suffix_zeros,1
US-WI-DR,,tax,,simple,1
US-WI-KW,,tax,,simple,1
US-WI-LA,,tax,,simple,1
US-WI-OC,,tax,,simple,1
US-WI-WL,,tax,,simple,1
US-WI-BU,,tax,,simple_pad_last: 6,1
US-WI-WH,,tax,,simple_pad_last: 6,1
US-WI-BY,,tax,,simple_pad_last: 5,1
US-WI-CO,,tax,,simple,1
US-WI-EC,,tax,,simple,1
US-FL-BR,fldor,parcel,,pipe,
US-FL-CO,fldor,parcel,,pipe,
US-FL-LV,fldor,parcel,,pipe,
US-FL-GL,fldor,parcel,,simple,1
US-FL-CA,fldor,parcel,,simple,1
US-FL-HM,fldor,parcel,,simple,1
US-FL-GI,fldor,parcel,,simple,1
US-FL-BD,fldor,parcel,,simple,1
US-FL-GU,fldor,parcel,,simple,1
US-FL-DE,fldor,parcel,,simple,1
US-FL-WK,fldor,parcel,,simple,1
US-FL-CU,fldor,parcel,,simple,1
US-FL-WS,fldor,parcel,,simple,1
US-FL-OK,fldor,parcel,,simple,1
US-FL-HE,fldor,parcel,,simple,1
US-FL-TA,fldor,parcel,Sx-Sx,split_groups: 1|3 & skip_empty: 1,1
US-FL-AL,fldor,parcel,Sx-Sx-Sx,split_groups: 2|3 & keep_length: 1 2_0 & merge_after: 0 0 & skip_empty: 1,1
US-FL-OS,fldor,parcel,Sx,string_lengths: 1 2 2 2 3 4 4 & skip_empty: 1,1
US-FL-SA,fldor,parcel,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,1
US-FL-OR,fldor,parcel,Dx,string_lengths: 2 2 2 4 2 3 & skip_empty: 1,
US-FL-HO,fldor,parcel,,simple,1
US-FL-MR,fldor,parcel,,simple,1
US-FL-LA,fldor,parcel,,simple,1
