aid,name_gadm,name_official,comment
USAK,Prince of Wales-Outer Ketchi,Prince of Wales-Hyder,
USAK,Skagway-Yakutat-Angoon,Yakutat,
USAK,Wade Hampton,Kusilvak,
USAK,Wrangell-Petersburg,Wrangell,
USAL,De Kalb,DeKalb,
USFL,Desoto,DeSoto,Could have been prevented by not enforcing title case
USIL,De Kalb,DeKalb,
USIL,Dupage,DuPage,Could have been prevented by not enforcing title case
USIL,La Salle,LaSalle,
USIN,De Kalb,DeKalb,
USLA,La Salle,LaSalle,
USMO,De Kalb,DeKalb,
USMS,Desoto,DeSoto,Could have been prevented by not enforcing title case
USND,Lamoure,LaMoure,Could have been prevented by not enforcing title case
USNM,Debaca,De Baca,
USNM,Dona Ana,Doña Ana,
USPA,Mc Kean,McKean,
USSD,Shannon,Oglala Lakota,
USTX,Dewitt,DeWitt,Could have been prevented by not enforcing title case
USVA,Bedford City,,Reintegrated into Bedford county
USVA,Clifton Forge City,,Reintegrated into Alleghany county
COBY,Guicán,Güicán de la Sierra,
COBY,Ciénaga,Ciénega,
COBY,Topagá,Tópaga,
COCU,Santafé de Bogotá,"Bogotá, D.C.",
COME,La Uribe,Uribe,
CONA,San Juan de Pasto,Pasto,
CONA,Santa Cruz,Santacruz,
CONS,Santo Domingo de Silos,Silos,
COSU,Sincé,San Luis de Sincé,
COSU,Tolú,Santiago de Tolú,
COVC,Santiago de Cali,Cali,
COAM,Mirití-Paraná,Mirití - Paraná,
COAN,Carolina del Principe,Carolina,
COAN,Don Matías,Donmatías,
COAN,La Unión de Sucre,La Unión,
COAN,Pequé,Peque,
COAN,San Andrés de Cuerquia,San Andrés de Cuerquía,
COAN,San Vicente,San Vicente Ferrer,
COAN,Santa Fe de Antioquia,Santa Fé de Antioquia,
COBL,San Estanislao de Kostka,San Estanislao,
COBY,Beteitiva,Betéitiva,
COBL,María la Baja,María La Baja,
COBY,Busbanza,Busbanzá,
COBY,Izá,Iza,
COAN,Bolívar,Ciudad Bolívar,
COBY,Toguí,Togüí,
COBY,Tunungua,Tununguá,
COBY,Zetaquirá,Zetaquira,
COBY,Umbita,Úmbita,
COCA,Caldonó,Caldono,
COCA,Guapí,Guapi,
COCA,Piendamó,Piendamó - Tunía,
COCA,Sotará,Sotará - Paispamba,
COCE,Manaure,Manaure Balcón del Cesar,
COCH,Novita,Nóvita,
COCL,Aranzazú,Aranzazu,
COCO,Purísima,Purísima de la Concepción,
COCO,San Bernardino de Sahagún,Sahagún,
COCO,Santa Cruz de Lorica,Lorica,
COCQ,Belén de los Andaquies,Belén de los Andaquíes,
COVC,La Unión de Sucre,La Unión,
COTO,San Sebastian de Mariquita,San Sebastián de Mariquita,
COTO,San Luís,San Luis,
COTO,Falán,Falan,
COSU,Toluviejo,San José de Toluviejo,
COSU,San Antonio de Palmito,Palmito,
COSU,Guarandá,Guaranda,
COCU,El Peñon,El Peñón,
COCU,San Juan de Río Seco,San Juan de Rioseco,
COCU,Utica,Útica,
COGN,Barranco Minas,Barrancominas,
COGN,Puerto Inírida,Inírida,
COHU,Tarquí,Tarqui,
COMA,Pueblo Viejo,Puebloviejo,
COMA,Santa Marta (Dist. Esp.),Santa Marta,
COHU,Iquira,Íquira,
COME,San Luis de Cubarral,Cubarral,
COME,Vista Hermosa,Vistahermosa,
CONA,Ancuyá,Ancuya,
CONA,Cuaspud,Cuaspud Carlosama,
CONA,El Tablón de Gomez,El Tablón de Gómez,
CONS,La Playa de Belén,La Playa,
CONS,Salazar de las Palmas,Salazar,
COPU,San Miguel de Mocoa,San Miguel,
CORI,Mistrato,Mistrató,
COST,Chimá,Chima,
CONA,La Unión de Sucre,La Unión,
CONS,Abrego,Ábrego,
COST,El Carmen de Chucurí,El Carmen de Chucuri,
COST,El Peñon,El Peñón,
COST,San Andrés de Cuerquia,San Andrés,
COSU,La Unión de Sucre,La Unión,
CONA,Tumaco,San Andrés de Tumaco,
