admin1_id,admin1_id_a3,admin_level,geoboundaries_level,license,license_spdx,status,held_reason,source,license_url,year,n_units
AW,ABW,1,ADM0,Creative Commons Attribution 4.0 (CC BY 4.0),CC-BY-4.0,open,,Sentinel-2 10m LandCover,sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,2021,1
AF,AFG,1,ADM0,Public Domain,public-domain,open,,"geoBoundaries, ArcGIS Hub",hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,2014,1
AF,AFG,2,ADM1,Public Domain,public-domain,open,,"Wikimedia, geoBoundaries",commons.wikimedia.org/wiki/File,2007,34
AF,AFG,3,ADM2,Public Domain,public-domain,open,,"Afghanistan Information Management Services, Esri Disaster Response Program",hub.arcgis.com/datasets/2b63527870ef416bacf83bcaf388685f_0?geometry=53.805%2C30.812%2C81.556%2C37.181,2014,398
AO,AGO,1,ADM0,Creative Commons Attribution-ShareAlike 2.0,,held,share-alike,Open Street Map,osm-boundaries.com/Documentation,2021,1
AO,AGO,2,ADM1,Public Domain,public-domain,open,,U.S. Census Bureau,www.census.gov/geographies/mapping-files/time-series/demo/international-programs/subnationalpopulation.html,2021,18
AO,AGO,3,ADM2,Public Domain,public-domain,open,,"geoBoundaries, Wikimedia Commons",commons.wikimedia.org/wiki/File,2006,158
AO,AGO,4,ADM3,Creative Commons Attribution 3.0 License,CC-BY-3.0,open,,"geoBoundaries, Instituto Nacional de Estatística, República de Angola; citypopulation.de",www.citypopulation.de/termsofuse.html,2014,558
AI,AIA,1,ADM0,Creative Commons Attribution 4.0 International (CC BY 4.0),CC-BY-4.0,open,,raster2polygon from Sentinel-2 10m Land Cover where Image Year = 2021 / exclude gridcode = 1 (water) / dissolve / processed by IMB,sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,2021,1
AL,ALB,1,ADM0,Public Domain,public-domain,open,,"geoBoundaries, Wikipedia",en.wikipedia.org/wiki/Outline_of_Albania#/media/File,2003,1
AL,ALB,2,ADM1,Public Domain,public-domain,open,,"geoBoundaries, Wikipedia",commons.wikimedia.org/wiki/File,2021,12
