admin_id_old,admin_id_new,code,rule,provenance
AE-AJ-A01,AE-AJ-AI1,AI1,initials,spine
AE-AJ-A02,AE-AJ-AI2,AI2,initials,spine
AE-AJ-A03,AE-AJ-AH,AH,initials,cc0
AE-AJ-A04,AE-AJ-AL,AL,any2,cc0
AE-AJ-A05,AE-AJ-AJ1,AJ1,initials,spine
AE-AJ-A06,AE-AJ-AJ2,AJ2,initials,spine
AE-AJ-A07,AE-AJ-AJ3,AJ3,initials,spine
AE-AJ-A08,AE-AJ-ALJ,ALJ,compound,spine
AE-AJ-A09,AE-AJ-AJI,AJI,initials,spine
AE-AJ-A10,AE-AJ-AJE,AJE,compound.alt,spine
AE-AJ-A11,AE-AJ-ALM,ALM,compound,spine
AE-AJ-A12,AE-AJ-AM2,AM2,initials,spine
AE-AJ-A13,AE-AJ-AM1,AM1,initials,spine
AE-AJ-A14,AE-AJ-AMU,AMU,compound.alt,spine
AE-AJ-A15,AE-AJ-AM3,AM3,initials,spine
AE-AJ-A16,AE-AJ-ALR,ALR,compound,spine
AE-AJ-A17,AE-AJ-AR2,AR2,initials,spine
AE-AJ-A18,AE-AJ-AR1,AR1,initials,spine
AE-AJ-A19,AE-AJ-ARA,ARA,compound.alt,spine
AE-AJ-A20,AE-AJ-AR3,AR3,initials,spine
AE-AJ-A21,AE-AJ-AAN,AAN,sequential,spine
AE-AJ-A22,AE-AJ-AAA,AAA,sequential,spine
AE-AJ-A23,AE-AJ-AAL,AAL,sequential,spine
AE-AJ-A24,AE-AJ-AT1,AT1,initials,spine
AE-AJ-A25,AE-AJ-AT2,AT2,initials,spine
AE-AJ-AA,AE-AJ-ALA,ALA,compound,spine
AE-AJ-AB,AE-AJ-ABA,ABA,compound.alt,spine
AE-AJ-AC,AE-AJ-AJC,AJC,compound,spine
AE-AJ-AH,AE-AJ-AF,AF,sequential,cc0
AE-AJ-AI,AE-AJ-ANU,ANU,compound.alt,spine
AE-AJ-AJ,AE-AJ-AJ,AJ,name,cc0
AE-AJ-AL,AE-AJ-AAM,AAM,compound.alt,spine
AE-AJ-AN,AE-AJ-ALN,ALN,compound,spine
AE-AJ-AR,AE-AJ-ARU,ARU,compound.alt,spine
AE-AJ-AT,AE-AJ-ALB,ALB,compound,spine
AE-AJ-AU,AE-AJ-ABU,ABU,compound.alt,spine
AE-AJ-AY,AE-AJ-ALY,ALY,compound,spine
AE-AJ-AZ,AE-AJ-ALZ,ALZ,compound,spine
AE-AJ-HE,AE-AJ-HE1,HE1,compound,spine
AE-AJ-HL,AE-AJ-HE2,HE2,compound,spine
AE-AJ-MA,AE-AJ-MAN,MAN,name,spine
AE-AJ-ME,AE-AJ-MES,MES,name,spine
AE-AJ-MS,AE-AJ-MA,MA,name,cc0
AE-AJ-SA,AE-AJ-SOA,SOA,compound,spine
AE-AZ-AA,AE-AZ-AA,AA,initials,spine
AE-AZ-AD,AE-AZ-AD,AD,initials,spine
AE-AZ-AG,AE-AZ-AG,AG,initials,spine
AE-DU-S1,AE-DU-SE1,SE1,compound,spine
AE-DU-S2,AE-DU-SE2,SE2,compound,spine
AE-DU-S3,AE-DU-SE3,SE3,compound,spine
AE-DU-S4,AE-DU-SE4,SE4,compound,spine
AE-DU-S5,AE-DU-SE5,SE5,compound,spine
AE-DU-S6,AE-DU-SE6,SE6,compound,spine
AE-DU-S7,AE-DU-SE7,SE7,compound,spine
AE-DU-S8,AE-DU-SE8,SE8,compound,spine
AE-DU-S9,AE-DU-SE9,SE9,compound,spine
AE-FU-CE,AE-FU-CE,CE,name,spine
AE-FU-NO,AE-FU-NO,NO,name,spine
AE-FU-SO,AE-FU-SO,SO,name,spine
AE-RK-AA,AE-RK-ADS,ADS,initials,spine
AE-RK-AB,AE-RK-AHU,AHU,compound.alt,spine
AE-RK-AD,AE-RK-ADA,ADA,compound.alt,spine
AE-RK-AE,AE-RK-ASE,ASE,compound.alt,spine
AE-RK-AF,AE-RK-ALF,ALF,compound,spine
AE-RK-AG,AE-RK-ALG,ALG,compound,spine
AE-RK-AH,AE-RK-ALH,ALH,compound,spine
AE-RK-AI,AE-RK-AIR,AIR,name,spine
AE-RK-AJ,AE-RK-AJA,AJA,initials,spine
AE-RK-AK,AE-RK-ALK,ALK,compound,spine
AE-RK-AL,AE-RK-ADN,ADN,initials,spine
AE-RK-AM,AE-RK-AMA,AMA,compound.alt,spine
AE-RK-AN,AE-RK-ANA,ANA,compound.alt,spine
AE-RK-AO,AE-RK-ALN,ALN,compound,spine
AE-RK-AQ,AE-RK-AQI,AQI,compound.alt,spine
AE-RK-AR,AE-RK-ARA,ARA,compound.alt,spine
AE-RK-AS,AE-RK-ALS,ALS,compound,spine
AE-RK-AT,AE-RK-ALT,ALT,compound,spine
AE-RK-AU,AE-RK-ALU,ALU,compound,spine
AE-RK-AV,AE-RK-AHV,AHV,initials,spine
AE-RK-AW,AE-RK-ALJ,ALJ,compound,spine
AE-RK-AZ,AE-RK-ALZ,ALZ,compound,spine
AE-RK-BA,AE-RK-BAB,BAB,initials,spine
AE-RK-DA,AE-RK-DAK,DAK,initials,spine
AE-RK-DH,AE-RK-DHA,DHA,name,spine
