country_code,n_alpha_codes,modal_length,min_length,max_length,share_derivable,n_codes_total,n_numeric
AD,,,,,,7,7
AE,7.0,2.0,2.0,2.0,0.429,7,0
AF,34.0,3.0,3.0,3.0,0.706,34,0
AG,,,,,,8,8
AL,36.0,2.0,2.0,2.0,0.472,48,12
AM,11.0,2.0,2.0,2.0,0.273,11,0
AO,18.0,3.0,3.0,3.0,0.833,18,0
AR,24.0,1.0,1.0,1.0,0.333,24,0
AT,,,,,,9,9
AU,8.0,3.0,2.0,3.0,0.875,8,0
AZ,78.0,3.0,2.0,3.0,0.654,78,0
BA,3.0,3.0,3.0,3.0,0.333,13,10
BB,,,,,,11,11
BD,8.0,1.0,1.0,1.0,0.0,72,64
BE,13.0,3.0,3.0,3.0,0.231,13,0
BF,45.0,3.0,3.0,3.0,0.689,58,13
BG,,,,,,28,28
BH,,,,,,5,5
BI,18.0,2.0,2.0,2.0,0.5,18,0
BJ,12.0,2.0,2.0,2.0,0.833,12,0
BN,4.0,2.0,2.0,2.0,1.0,4,0
BO,9.0,1.0,1.0,1.0,0.667,9,0
BQ,3.0,2.0,2.0,2.0,1.0,3,0
BR,27.0,2.0,2.0,2.0,0.667,27,0
BS,43.0,2.0,2.0,2.0,0.721,43,0
BT,2.0,2.0,2.0,2.0,0.5,20,18
BW,17.0,2.0,2.0,2.0,0.882,17,0
BY,7.0,2.0,2.0,2.0,1.0,7,0
BZ,6.0,2.0,2.0,3.0,0.5,6,0
CA,13.0,2.0,2.0,2.0,0.538,13,0
CD,30.0,2.0,2.0,2.0,0.667,30,0
CF,17.0,2.0,2.0,3.0,0.412,17,0
CG,1.0,3.0,3.0,3.0,0.0,12,11
CH,26.0,2.0,2.0,2.0,0.577,26,0
CI,14.0,2.0,2.0,2.0,0.286,33,19
CL,16.0,2.0,2.0,2.0,0.688,16,0
CM,10.0,2.0,2.0,2.0,0.7,10,0
CN,34.0,2.0,2.0,2.0,0.118,34,0
CO,33.0,3.0,2.0,3.0,0.879,33,0
CR,7.0,1.0,1.0,2.0,1.0,7,0
CS,2.0,2.0,2.0,2.0,0.0,2,0
CU,,,,,,17,17
CV,24.0,2.0,1.0,2.0,0.708,24,0
CY,,,,,,6,6
CZ,,,,,,109,106
DE,16.0,2.0,2.0,2.0,0.562,16,0
DJ,6.0,2.0,2.0,2.0,1.0,6,0
DK,1.0,2.0,2.0,2.0,0.0,6,5
DM,,,,,,10,10
DO,,,,,,34,34
DZ,,,,,,58,58
EC,24.0,1.0,1.0,2.0,0.583,24,0
EE,,,,,,52,52
EG,29.0,2.0,1.0,3.0,0.034,29,0
ER,6.0,2.0,2.0,2.0,0.333,6,0
ES,68.0,2.0,1.0,2.0,0.5,68,0
ET,13.0,2.0,2.0,2.0,0.692,13,0
FI,4.0,2.0,2.0,2.0,0.0,23,19
FJ,5.0,1.0,1.0,1.0,1.0,19,14
FM,4.0,3.0,3.0,3.0,0.25,4,0
FR,36.0,1.0,1.0,3.0,0.389,139,98
GA,,,,,,9,9
GB,252.0,3.0,3.0,3.0,0.254,252,0
GD,,,,,,7,7
GE,12.0,2.0,2.0,2.0,0.917,17,5
GH,17.0,2.0,2.0,2.0,0.471,17,0
GL,6.0,2.0,2.0,2.0,0.5,6,0
GM,6.0,1.0,1.0,1.0,0.833,6,0
GN,41.0,2.0,1.0,2.0,0.683,41,0
GQ,10.0,2.0,1.0,2.0,0.9,10,0
GR,13.0,1.0,1.0,1.0,0.077,66,51
GT,22.0,2.0,2.0,2.0,0.773,44,22
GW,12.0,2.0,1.0,2.0,0.75,12,0
GY,10.0,2.0,2.0,2.0,0.8,10,0
HN,18.0,2.0,2.0,2.0,0.667,18,0
HR,,,,,,21,21
HT,10.0,2.0,2.0,2.0,0.8,10,0
HU,43.0,2.0,2.0,2.0,0.581,43,0
ID,46.0,2.0,2.0,2.0,0.565,46,0
IE,30.0,2.0,1.0,2.0,0.233,30,0
IL,6.0,1.0,1.0,2.0,0.167,6,0
IN,42.0,2.0,2.0,2.0,0.381,42,0
IQ,19.0,2.0,2.0,2.0,0.526,19,0
IR,,,,,,33,33
IS,43.0,3.0,3.0,3.0,0.395,52,9
IT,111.0,2.0,2.0,2.0,0.036,131,20
JM,,,,,,14,14
JO,12.0,2.0,2.0,2.0,0.333,12,0
JP,,,,,,47,47
KE,,,,,,55,55
KG,9.0,1.0,1.0,2.0,0.778,9,0
KH,,,,,,25,25
KI,3.0,1.0,1.0,1.0,1.0,3,0
KM,3.0,1.0,1.0,1.0,1.0,3,0
KN,2.0,1.0,1.0,1.0,0.5,16,14
KP,,,,,,13,13
KR,,,,,,17,17
KW,6.0,2.0,2.0,2.0,0.333,6,0
KZ,16.0,3.0,3.0,3.0,0.375,36,20
LA,19.0,2.0,2.0,2.0,0.526,19,0
LB,8.0,2.0,2.0,2.0,0.25,8,0
LC,,,,,,12,12
LI,,,,,,11,11
LK,,,,,,34,34
LR,15.0,2.0,2.0,2.0,0.6,15,0
LS,10.0,1.0,1.0,1.0,0.1,10,0
LT,10.0,2.0,2.0,2.0,0.6,70,60
LU,15.0,2.0,1.0,2.0,0.467,15,0
LV,9.0,3.0,3.0,3.0,0.444,122,113
LY,22.0,2.0,2.0,2.0,0.091,22,0
MA,77.0,3.0,3.0,3.0,0.636,93,16
MC,17.0,2.0,2.0,2.0,0.529,17,0
MD,37.0,2.0,2.0,2.0,0.784,37,0
ME,,,,,,25,25
MG,6.0,1.0,1.0,1.0,0.333,6,0
MH,26.0,3.0,1.0,3.0,0.654,26,0
MK,,,,,,86,86
ML,1.0,3.0,3.0,3.0,0.0,20,19
MM,,,,,,15,15
MN,,,,,,22,22
MR,1.0,3.0,3.0,3.0,0.0,16,15
MT,,,,,,68,68
MU,12.0,2.0,2.0,2.0,0.917,12,0
MV,8.0,2.0,2.0,3.0,0.75,28,20
MW,31.0,2.0,1.0,2.0,0.677,31,0
MX,32.0,3.0,3.0,3.0,0.812,32,0
MY,,,,,,16,16
MZ,11.0,1.0,1.0,3.0,0.455,11,0
NA,15.0,2.0,2.0,2.0,0.467,15,0
NE,,,,,,8,8
NG,37.0,2.0,2.0,2.0,0.865,37,0
NI,19.0,2.0,2.0,2.0,0.526,19,0
NL,15.0,2.0,2.0,2.0,0.8,17,0
NO,,,,,,29,29
NP,14.0,2.0,2.0,2.0,1.0,25,5
NR,,,,,,14,14
NZ,19.0,3.0,1.0,3.0,0.421,19,0
OM,13.0,2.0,2.0,2.0,0.231,13,0
PA,4.0,2.0,2.0,2.0,0.75,14,10
PE,26.0,3.0,3.0,3.0,0.846,26,0
PG,22.0,3.0,3.0,3.0,0.091,22,0
PH,83.0,3.0,3.0,3.0,0.663,100,17
PK,8.0,2.0,2.0,2.0,0.5,8,0
PL,1.0,2.0,2.0,2.0,1.0,17,16
PS,16.0,3.0,3.0,3.0,0.062,16,0
PT,,,,,,20,20
PW,,,,,,16,16
PY,1.0,3.0,3.0,3.0,1.0,18,17
QA,8.0,2.0,2.0,2.0,0.125,8,0
RO,42.0,2.0,1.0,2.0,0.143,42,0
RS,2.0,2.0,2.0,2.0,0.5,32,30
RU,83.0,3.0,2.0,3.0,0.807,83,0
RW,,,,,,5,5
SA,,,,,,13,13
SB,10.0,2.0,2.0,2.0,0.6,10,0
SC,,,,,,27,27
SD,18.0,2.0,2.0,2.0,0.222,18,0
SE,21.0,1.0,1.0,2.0,0.0,21,0
SG,,,,,,5,5
SH,3.0,2.0,2.0,2.0,0.0,3,0
SI,,,,,,212,212
SK,8.0,2.0,2.0,2.0,0.25,8,0
SL,5.0,1.0,1.0,2.0,1.0,5,0
SM,,,,,,9,9
SN,14.0,2.0,2.0,2.0,0.357,14,0
SO,17.0,2.0,2.0,2.0,0.588,17,0
SR,10.0,2.0,2.0,2.0,0.6,10,0
SS,10.0,2.0,2.0,2.0,0.1,10,0
ST,1.0,1.0,1.0,1.0,1.0,7,6
SV,14.0,2.0,2.0,2.0,0.786,14,0
SY,14.0,2.0,2.0,2.0,0.357,14,0
SZ,4.0,2.0,2.0,2.0,1.0,4,0
TD,24.0,2.0,2.0,2.0,0.667,24,0
TG,5.0,1.0,1.0,1.0,1.0,5,0
TH,1.0,1.0,1.0,1.0,0.0,78,77
TJ,5.0,2.0,2.0,2.0,0.6,5,0
TL,13.0,2.0,2.0,2.0,0.692,13,0
TM,6.0,1.0,1.0,1.0,0.833,6,0
TN,,,,,,24,24
TO,,,,,,5,5
TR,,,,,,81,81
TT,17.0,3.0,3.0,3.0,0.765,17,0
TV,8.0,3.0,3.0,3.0,0.375,8,0
TW,25.0,3.0,3.0,3.0,0.4,25,0
TZ,,,,,,31,31
UA,,,,,,27,27
UG,4.0,1.0,1.0,1.0,1.0,133,129
UM,,,,,,9,9
US,56.0,2.0,2.0,2.0,0.571,56,0
UY,19.0,2.0,2.0,2.0,0.789,19,0
UZ,14.0,2.0,2.0,2.0,0.643,14,0
VC,,,,,,6,6
VE,25.0,1.0,1.0,1.0,0.12,25,0
VN,5.0,2.0,2.0,2.0,0.8,64,59
VU,6.0,3.0,3.0,3.0,0.0,6,0
WF,3.0,2.0,2.0,2.0,0.667,3,0
WS,11.0,2.0,2.0,2.0,0.727,11,0
YE,22.0,2.0,2.0,2.0,0.5,22,0
YU,2.0,2.0,2.0,2.0,0.0,2,0
ZA,9.0,2.0,2.0,3.0,0.667,9,0
ZM,,,,,,10,10
ZW,10.0,2.0,2.0,2.0,0.9,10,0
