admin1_id,n_units,n_iso_alpha_codes,iso_code_length,intuitive_2char_covered,intuitive_2char_share,recommended_length,reason
AD,7,0,,7,1.0,2,intuitive coverage 100%
AE,7,7,2,7,1.0,2,published convention
AF,34,34,3,34,1.0,2,two characters cover every unit (ISO publishes three)
AG,8,0,,8,1.0,2,intuitive coverage 100%
AI,18,0,,18,1.0,2,intuitive coverage 100%
AL,12,36,2,12,1.0,2,published convention
AM,11,11,2,11,1.0,2,published convention
AO,18,18,3,18,1.0,2,two characters cover every unit (ISO publishes three)
AR,24,24,1,24,1.0,2,intuitive coverage 100%
AS,4,0,,4,1.0,2,intuitive coverage 100%
AT,9,0,,9,1.0,2,intuitive coverage 100%
AU,11,8,3,11,1.0,2,two characters cover every unit (ISO publishes three)
AX,3,0,,3,1.0,2,intuitive coverage 100%
AZ,10,78,3,10,1.0,2,two characters cover every unit (ISO publishes three)
BA,3,3,3,3,1.0,2,two characters cover every unit (ISO publishes three)
BB,11,0,,11,1.0,2,intuitive coverage 100%
BD,8,8,1,8,1.0,2,intuitive coverage 100%
BE,3,13,3,3,1.0,2,two characters cover every unit (ISO publishes three)
BF,13,45,3,13,1.0,2,two characters cover every unit (ISO publishes three)
BG,28,0,,28,1.0,2,intuitive coverage 100%
BH,4,0,,4,1.0,2,intuitive coverage 100%
BI,17,18,2,17,1.0,2,published convention
BJ,12,12,2,12,1.0,2,published convention
BL,2,0,,2,1.0,2,intuitive coverage 100%
BM,11,0,,11,1.0,2,intuitive coverage 100%
BN,4,4,2,4,1.0,2,published convention
BO,9,9,1,9,1.0,2,intuitive coverage 100%
BQ,3,3,2,3,1.0,2,published convention
BR,27,27,2,26,0.963,2,published convention
BS,32,43,2,32,1.0,2,published convention
BT,20,2,2,20,1.0,2,published convention
BW,16,17,2,16,1.0,2,published convention
BY,7,7,2,7,1.0,2,published convention
BZ,6,6,2,6,1.0,2,published convention
CA,13,13,2,13,1.0,2,published convention
CD,26,30,2,26,1.0,2,published convention
CF,17,17,2,17,1.0,2,published convention
CG,12,1,3,12,1.0,2,two characters cover every unit (ISO publishes three)
CH,26,26,2,26,1.0,2,published convention
CI,14,14,2,14,1.0,2,published convention
CK,11,0,,11,1.0,2,intuitive coverage 100%
CL,16,16,2,16,1.0,2,published convention
CM,10,10,2,10,1.0,2,published convention
CN,33,34,2,32,0.97,2,published convention
CO,33,33,3,33,1.0,2,two characters cover every unit (ISO publishes three)
CR,7,7,1,7,1.0,2,intuitive coverage 100%
CU,16,0,,16,1.0,2,intuitive coverage 100%
CV,22,24,2,22,1.0,2,published convention
CY,5,0,,5,1.0,2,intuitive coverage 100%
CZ,14,0,,14,1.0,2,intuitive coverage 100%
DE,16,16,2,16,1.0,2,published convention
DJ,6,6,2,6,1.0,2,published convention
DK,5,1,2,5,1.0,2,published convention
DM,10,0,,10,1.0,2,intuitive coverage 100%
DO,32,0,,32,1.0,2,intuitive coverage 100%
DZ,48,0,,48,1.0,2,intuitive coverage 100%
EC,24,24,1,24,1.0,2,intuitive coverage 100%
EE,15,0,,15,1.0,2,intuitive coverage 100%
EG,27,29,2,27,1.0,2,published convention
EH,4,0,,4,1.0,2,intuitive coverage 100%
ER,6,6,2,6,1.0,2,published convention
ES,18,68,2,18,1.0,2,published convention
ET,11,13,2,11,1.0,2,published convention
FI,5,4,2,5,1.0,2,published convention
FJ,5,5,1,5,1.0,2,intuitive coverage 100%
FM,4,4,3,4,1.0,2,two characters cover every unit (ISO publishes three)
FO,6,0,,6,1.0,2,intuitive coverage 100%
FR,13,36,1,13,1.0,2,intuitive coverage 100%
GA,9,0,,9,1.0,2,intuitive coverage 100%
GB,4,252,3,4,1.0,2,ISO length measured over 252 districts not these 4 units; 2 chars cover all
GD,7,0,,7,1.0,2,intuitive coverage 100%
GE,12,12,2,12,1.0,2,published convention
GF,2,0,,2,1.0,2,intuitive coverage 100%
GG,12,0,,12,1.0,2,intuitive coverage 100%
GH,16,17,2,16,1.0,2,published convention
GL,5,6,2,5,1.0,2,published convention
GM,6,6,1,6,1.0,2,intuitive coverage 100%
GN,8,41,2,8,1.0,2,published convention
GP,2,0,,2,1.0,2,intuitive coverage 100%
GQ,7,10,2,7,1.0,2,published convention
GR,8,13,1,8,1.0,2,intuitive coverage 100%
GT,22,22,2,22,1.0,2,published convention
GU,19,0,,19,1.0,2,intuitive coverage 100%
GW,9,12,2,9,1.0,2,published convention
GY,10,10,2,10,1.0,2,published convention
HN,18,18,2,18,1.0,2,published convention
HR,21,0,,21,1.0,2,intuitive coverage 100%
HT,10,10,2,10,1.0,2,published convention
HU,20,43,2,20,1.0,2,published convention
ID,34,46,2,34,1.0,2,published convention
IE,25,30,2,25,1.0,2,published convention
IL,7,6,1,7,1.0,2,intuitive coverage 100%
IM,21,0,,21,1.0,2,intuitive coverage 100%
IN,35,42,2,34,0.971,2,published convention
IQ,18,19,2,18,1.0,2,published convention
IR,31,0,,31,1.0,2,intuitive coverage 100%
IS,8,43,3,7,0.875,3,published convention
IT,20,111,2,20,1.0,2,published convention
JE,12,0,,12,1.0,2,intuitive coverage 100%
JM,14,0,,14,1.0,2,intuitive coverage 100%
JO,12,12,2,12,1.0,2,published convention
JP,47,0,,47,1.0,2,intuitive coverage 100%
KE,47,0,,47,1.0,2,intuitive coverage 100%
KG,9,9,1,9,1.0,2,intuitive coverage 100%
KH,25,0,,25,1.0,2,intuitive coverage 100%
KM,3,3,1,3,1.0,2,intuitive coverage 100%
KN,14,2,1,14,1.0,2,intuitive coverage 100%
KP,14,0,,12,0.857,3,intuitive coverage only 86%
KR,17,0,,17,1.0,2,intuitive coverage 100%
KW,6,6,2,6,1.0,2,published convention
KY,6,0,,6,1.0,2,intuitive coverage 100%
KZ,14,16,3,14,1.0,2,two characters cover every unit (ISO publishes three)
LA,18,19,2,18,1.0,2,published convention
LB,8,8,2,8,1.0,2,published convention
LC,10,0,,10,1.0,2,intuitive coverage 100%
LI,11,0,,11,1.0,2,intuitive coverage 100%
LK,25,0,,25,1.0,2,intuitive coverage 100%
LR,15,15,2,15,1.0,2,published convention
LS,10,10,1,10,1.0,2,intuitive coverage 100%
LT,10,10,2,10,1.0,2,published convention
LU,3,15,2,3,1.0,2,published convention
LV,5,9,3,5,1.0,2,two characters cover every unit (ISO publishes three)
LY,22,22,2,22,1.0,2,published convention
MA,15,77,3,15,1.0,2,two characters cover every unit (ISO publishes three)
MD,37,37,2,37,1.0,2,published convention
ME,21,0,,21,1.0,2,intuitive coverage 100%
MG,6,6,1,6,1.0,2,intuitive coverage 100%
MH,22,26,3,22,1.0,2,two characters cover every unit (ISO publishes three)
MK,80,0,,79,0.988,3,intuitive coverage only 99%
ML,9,1,3,9,1.0,2,two characters cover every unit (ISO publishes three)
MM,15,0,,15,1.0,2,intuitive coverage 100%
MN,22,0,,22,1.0,2,intuitive coverage 100%
MP,4,0,,4,1.0,2,intuitive coverage 100%
MQ,4,0,,4,1.0,2,intuitive coverage 100%
MR,13,1,3,13,1.0,2,two characters cover every unit (ISO publishes three)
MS,3,0,,3,1.0,2,intuitive coverage 100%
MT,5,0,,5,1.0,2,intuitive coverage 100%
MU,12,12,2,12,1.0,2,published convention
MW,28,31,2,28,1.0,2,published convention
MX,32,32,3,32,1.0,2,two characters cover every unit (ISO publishes three)
MY,16,0,,16,1.0,2,intuitive coverage 100%
MZ,11,11,1,11,1.0,2,intuitive coverage 100%
NA,13,15,2,13,1.0,2,published convention
NC,3,0,,3,1.0,2,intuitive coverage 100%
NE,8,0,,8,1.0,2,intuitive coverage 100%
NG,37,37,2,37,1.0,2,published convention
NI,17,19,2,17,1.0,2,published convention
NL,11,15,2,11,1.0,2,published convention
NO,19,0,,19,1.0,2,intuitive coverage 100%
NP,5,14,2,5,1.0,2,published convention
NR,14,0,,14,1.0,2,intuitive coverage 100%
NZ,19,19,3,19,1.0,2,two characters cover every unit (ISO publishes three)
OM,11,13,2,11,1.0,2,published convention
PA,13,4,2,13,1.0,2,published convention
PE,26,26,3,26,1.0,2,two characters cover every unit (ISO publishes three)
PF,5,0,,5,1.0,2,intuitive coverage 100%
PG,22,22,3,22,1.0,2,two characters cover every unit (ISO publishes three)
PH,81,83,3,81,1.0,2,two characters cover every unit (ISO publishes three)
PK,6,8,2,6,1.0,2,published convention
PL,16,1,2,16,1.0,2,published convention
PM,2,0,,2,1.0,2,intuitive coverage 100%
PR,78,0,,78,1.0,2,intuitive coverage 100%
PS,2,16,3,2,1.0,2,two characters cover every unit (ISO publishes three)
PT,20,0,,20,1.0,2,intuitive coverage 100%
PW,16,0,,15,0.938,3,intuitive coverage only 94%
PY,18,1,3,18,1.0,2,two characters cover every unit (ISO publishes three)
QA,7,8,2,7,1.0,2,published convention
RE,4,0,,4,1.0,2,intuitive coverage 100%
RO,42,42,2,42,1.0,2,published convention
RS,25,2,2,25,1.0,2,published convention
RU,83,83,3,82,0.988,3,published convention
RW,5,0,,5,1.0,2,intuitive coverage 100%
SA,13,0,,13,1.0,2,intuitive coverage 100%
SB,10,10,2,10,1.0,2,published convention
SC,26,0,,26,1.0,2,intuitive coverage 100%
SD,18,18,2,18,1.0,2,published convention
SE,21,21,1,21,1.0,2,intuitive coverage 100%
SG,5,0,,5,1.0,2,intuitive coverage 100%
SH,3,3,2,3,1.0,2,published convention
SI,12,0,,12,1.0,2,intuitive coverage 100%
SJ,2,0,,2,1.0,2,intuitive coverage 100%
SK,8,8,2,8,1.0,2,published convention
SL,4,5,1,4,1.0,2,intuitive coverage 100%
SM,9,0,,9,1.0,2,intuitive coverage 100%
SN,14,14,2,14,1.0,2,published convention
SO,18,17,2,18,1.0,2,published convention
SR,10,10,2,10,1.0,2,published convention
SS,10,10,2,10,1.0,2,published convention
ST,2,1,1,2,1.0,2,intuitive coverage 100%
SV,14,14,2,14,1.0,2,published convention
SY,14,14,2,14,1.0,2,published convention
SZ,4,4,2,4,1.0,2,published convention
TC,6,0,,6,1.0,2,intuitive coverage 100%
TD,23,24,2,23,1.0,2,published convention
TF,4,0,,4,1.0,2,intuitive coverage 100%
TG,5,5,1,5,1.0,2,intuitive coverage 100%
TH,77,1,1,75,0.974,3,intuitive coverage only 97%
TJ,5,5,2,5,1.0,2,published convention
TK,3,0,,3,1.0,2,intuitive coverage 100%
TL,13,13,2,13,1.0,2,published convention
TM,6,6,1,6,1.0,2,intuitive coverage 100%
TN,24,0,,24,1.0,2,intuitive coverage 100%
TO,5,0,,5,1.0,2,intuitive coverage 100%
TR,81,0,,81,1.0,2,intuitive coverage 100%
TT,15,17,3,15,1.0,2,two characters cover every unit (ISO publishes three)
TV,9,8,3,9,1.0,2,two characters cover every unit (ISO publishes three)
TW,7,25,3,7,1.0,2,two characters cover every unit (ISO publishes three)
TZ,31,0,,31,1.0,2,intuitive coverage 100%
UA,27,0,,27,1.0,2,intuitive coverage 100%
UG,56,4,1,53,0.946,3,intuitive coverage only 95%
UM,9,0,,9,1.0,2,intuitive coverage 100%
US,51,56,2,51,1.0,2,published convention
UY,19,19,2,19,1.0,2,published convention
UZ,14,14,2,14,1.0,2,published convention
VC,6,0,,6,1.0,2,intuitive coverage 100%
VE,25,25,1,25,1.0,2,intuitive coverage 100%
VG,5,0,,5,1.0,2,intuitive coverage 100%
VI,3,0,,3,1.0,2,intuitive coverage 100%
VN,63,5,2,63,1.0,2,published convention
VU,6,6,3,6,1.0,2,two characters cover every unit (ISO publishes three)
WF,3,3,2,3,1.0,2,published convention
WS,11,11,2,11,1.0,2,published convention
XA,2,0,,2,1.0,2,intuitive coverage 100%
XK,7,0,,7,1.0,2,intuitive coverage 100%
YE,21,22,2,20,0.952,2,published convention
YT,17,0,,17,1.0,2,intuitive coverage 100%
Z1,1,0,,1,1.0,2,intuitive coverage 100%
Z2,1,0,,1,1.0,2,intuitive coverage 100%
Z3,2,0,,2,1.0,2,intuitive coverage 100%
Z4,1,0,,1,1.0,2,intuitive coverage 100%
Z5,1,0,,1,1.0,2,intuitive coverage 100%
Z6,2,0,,2,1.0,2,intuitive coverage 100%
Z7,1,0,,1,1.0,2,intuitive coverage 100%
Z8,1,0,,1,1.0,2,intuitive coverage 100%
Z9,2,0,,2,1.0,2,intuitive coverage 100%
ZA,9,9,2,9,1.0,2,published convention
ZM,10,0,,10,1.0,2,intuitive coverage 100%
ZN,5,0,,5,1.0,2,intuitive coverage 100%
ZW,10,10,2,10,1.0,2,published convention
