admin1_id,language,note
FR,fr,
MC,fr,
LU,fr,
HT,fr,
SN,fr,
CI,fr,
ML,fr,
BF,fr,
NE,fr,
TD,fr,
CD,fr,
CG,fr,
GA,fr,
CM,fr,
BJ,fr,
TG,fr,
GN,fr,
MG,fr,
DJ,fr,
BE,fr,French and Dutch; French chosen for admin-unit naming
ES,es,
MX,es,
AR,es,
CO,es,
PE,es,
VE,es,
CL,es,
EC,es,
GT,es,
CU,es,
BO,es,
DO,es,
HN,es,
PY,es,
SV,es,
NI,es,
CR,es,
PA,es,
UY,es,
GQ,es,
PT,pt,
BR,pt,
AO,pt,
MZ,pt,
CV,pt,
GW,pt,
ST,pt,
TL,pt,
DE,de,
AT,de,
LI,de,
CH,de,Multilingual; German is the majority naming language
IT,it,
SM,it,
VA,it,
NL,nl,
SR,nl,
US,en,
GB,en,
IE,en,
CA,en,English and French; English chosen for admin-unit naming
AU,en,
NZ,en,
IN,en,
ZA,en,
NG,en,
KE,en,
GH,en,
UG,en,
TZ,en,
ZM,en,
ZW,en,
MW,en,
BW,en,
NA,en,
PH,en,
MY,en,
SG,en,
PK,en,
BD,en,
LK,en,
JM,en,
TT,en,
GY,en,
BZ,en,
FJ,en,
PG,en,
JP,ja,municipality suffixes -shi -cho -ku
TR,tr,district type words ilce ilcesi
RU,ru,type words rayon kray okrug
CN,zh,
KR,ko,
TW,zh,
UA,ru,Cyrillic transliteration shares the Russian type words
BY,ru,
KZ,ru,
