language,category,token
und,article,the
und,preposition,of
und,conjunction,and
en,article,the
en,preposition,of
en,conjunction,and
en,qualifier,north
en,qualifier,south
en,qualifier,east
en,qualifier,west
en,qualifier,upper
en,qualifier,lower
en,qualifier,new
en,qualifier,old
en,qualifier,great
en,qualifier,greater
en,qualifier,little
fr,article,la
fr,article,le
fr,article,les
fr,article,l
fr,preposition,de
fr,preposition,du
fr,preposition,des
fr,preposition,d
fr,conjunction,et
fr,qualifier,haut
fr,qualifier,haute
fr,qualifier,hauts
fr,qualifier,hautes
fr,qualifier,bas
fr,qualifier,basse
fr,qualifier,basses
fr,qualifier,nord
fr,qualifier,sud
fr,qualifier,grand
fr,qualifier,grande
fr,qualifier,petit
fr,qualifier,petite
es,article,el
es,article,la
es,article,los
es,article,las
es,preposition,de
es,preposition,del
es,conjunction,y
es,conjunction,e
es,qualifier,alto
es,qualifier,alta
es,qualifier,bajo
es,qualifier,baja
es,qualifier,norte
es,qualifier,sur
es,qualifier,nuevo
es,qualifier,nueva
es,qualifier,gran
pt,article,o
pt,article,a
pt,article,os
pt,article,as
pt,preposition,de
pt,preposition,do
pt,preposition,da
pt,preposition,dos
pt,preposition,das
pt,conjunction,e
pt,qualifier,alto
pt,qualifier,baixo
pt,qualifier,norte
pt,qualifier,sul
pt,qualifier,novo
pt,qualifier,nova
pt,qualifier,grande
de,article,der
de,article,die
de,article,das
de,preposition,von
de,preposition,vom
de,preposition,am
de,preposition,im
de,conjunction,und
de,qualifier,ober
de,qualifier,nieder
de,qualifier,gross
de,qualifier,klein
de,qualifier,neu
de,qualifier,alt
de,qualifier,nord
de,qualifier,sued
de,qualifier,ost
de,qualifier,west
de,qualifier,bad
it,article,il
it,article,lo
it,article,la
it,article,gli
it,article,le
it,preposition,di
it,preposition,del
it,preposition,della
it,preposition,dei
it,preposition,delle
it,preposition,d
it,conjunction,e
it,conjunction,ed
it,qualifier,alto
it,qualifier,alta
it,qualifier,basso
it,qualifier,bassa
it,qualifier,nord
it,qualifier,sud
it,qualifier,grande
it,qualifier,nuovo
nl,article,de
nl,article,het
nl,preposition,van
nl,preposition,den
nl,preposition,der
nl,preposition,ter
nl,preposition,op
nl,preposition,aan
nl,conjunction,en
nl,qualifier,noord
nl,qualifier,zuid
nl,qualifier,oost
nl,qualifier,west
nl,qualifier,groot
nl,qualifier,klein
nl,qualifier,nieuw
nl,qualifier,oud
und,type_word,county
und,type_word,district
und,type_word,province
und,type_word,region
und,type_word,municipality
und,type_word,parish
und,type_word,borough
und,type_word,prefecture
und,type_word,department
und,type_word,governorate
und,type_word,territory
und,type_word,census
und,type_word,area
und,type_word,subdistrict
und,type_word,subdivision
und,type_word,voivodeship
und,type_word,oblast
und,type_word,commune
und,type_word,canton
und,type_word,ward
ja,type_word,shi
ja,type_word,cho
ja,type_word,machi
ja,type_word,mura
ja,type_word,son
ja,type_word,ku
ja,type_word,gun
ja,type_word,ken
ja,type_word,fu
tr,type_word,ilce
tr,type_word,ilcesi
tr,type_word,ili
ru,type_word,rayon
ru,type_word,raion
ru,type_word,kray
ru,type_word,okrug
ru,type_word,respublika
ru,type_word,gorodskoy
es,type_word,municipio
es,type_word,provincia
es,type_word,departamento
es,type_word,comuna
pt,type_word,municipio
pt,type_word,distrito
pt,type_word,estado
fr,type_word,departement
fr,type_word,arrondissement
de,type_word,kreis
de,type_word,landkreis
de,type_word,bezirk
de,type_word,gemeinde
de,type_word,stadt
it,type_word,comune
it,type_word,provincia
it,type_word,regione
nl,type_word,gemeente
nl,type_word,provincie
ko,type_word,si
ko,type_word,gun
ko,type_word,gu
ko,type_word,eup
ko,type_word,myeon
zh,type_word,xian
zh,type_word,qu
zh,type_word,shi
