admin2_id,name,type,admin2_id_admin1,admin2_id_source
AD-AL,Andorra la Vella,Parish,,initials
AD-CA,Canillo,Parish,,name
AD-EE,Escaldes-Engordany,Parish,,initials
AD-EN,Encamp,Parish,,name
AD-LM,La Massana,Parish,,initials
AD-OR,Ordino,Parish,,name
AD-SJ,Sant Julià de Lòria,Parish,,initials
AE-AD,Abu Dhabi,Emirate,,initials
AE-AJ,Ajman,Emirate,,anchor
AE-DU,Dubai,Emirate,,name
AE-FU,Fujairah,Emirate,,name
AE-RK,Ras Al-Khaimah,Emirate,,initials
AE-SH,Sharjah,Emirate,,name
AE-UQ,Umm al-Qaywayn,Emirate,,anchor
AF-BA,Badakhshan,Province,,name
AF-BD,Badghis,Province,,skeleton
AF-BG,Baghlan,Province,,skeleton
AF-BL,Balkh,Province,,skeleton
AF-BM,Bamyan,Province,,skeleton
AF-DA,Daykundi,Province,,name
AF-FA,Faryab,Province,,name
AF-FR,Farah,Province,,skeleton
AF-GH,Ghazni,Province,,name
AF-GO,Ghor,Province,,any2
AF-HI,Hirat,Province,,name
AF-HL,Hilmand,Province,,skeleton
AF-JA,Jawzjan,Province,,name
AF-KA,Kabul,Province,,name
AF-KH,Khost,Province,,name
AF-KN,Kandahar,Province,,skeleton
AF-KP,Kapisa,Province,,skeleton
AF-KR,Kunar,Province,,any2
AF-KU,Kunduz,Province,,name
AF-LA,Laghman,Province,,name
AF-LO,Logar,Province,,name
AF-NA,Nangarhar,Province,,name
AF-NI,Nimroz,Province,,name
AF-NU,Nuristan,Province,,name
AF-PA,Paktya,Province,,name
AF-PK,Paktika,Province,,skeleton
AF-PN,Panjshir,Province,,skeleton
AF-PR,Parwan,Province,,skeleton
AF-SA,Samangan,Province,,name
AF-SP,Sari Pul,Province,,initials
AF-TA,Takhar,Province,,name
AF-UR,Uruzgan,Province,,name
AF-WA,Wardak,Province,,name
AF-ZA,Zabul,Province,,name
AG-BA,Barbuda,Dependency,,name
AG-RE,Redonda,Dependency,,name
AG-SA,Saint Peter,Parish,,any2
AG-SG,Saint George,Parish,,initials
AG-SI,Saint Philip,Parish,,any2
AG-SJ,Saint John,Parish,,initials
AG-SM,Saint Mary,Parish,,initials
AG-SP,Saint Paul,Parish,,initials
AI-BP,Blowing Point,District,,initials
AI-DI,Dog Island,Island,,initials
AI-EE,East End,District,,initials
AI-FA,The Farrington,District,,name
AI-GH,George Hill,District,,initials
AI-IH,Island Harbour,District,,initials
AI-NH,North Hill,District,,initials
AI-NS,North Side,District,,initials
AI-PP,Pricly Pear Cays,Island,,initials
AI-QU,The Quarter,District,,name
AI-SA,Sandy Hill,District,,any2
