admin4_id,name,type,name_original,name_alternatives,type_original,admin4_id_admin1,admin4_id_gadm,admin4_id_source
AE-AJ-A01-X01,,,,,,,ARE.2.3.1_1,sequential
AE-AJ-A02-X01,,,,,,,ARE.2.4.1_1,sequential
AE-AJ-A03-X01,,,,,,,ARE.2.10.1_1,sequential
AE-AJ-A04-X01,,,,,,,ARE.2.12.1_1,sequential
AE-AJ-A05-X01,,,,,,,ARE.2.13.1_1,sequential
AE-AJ-A06-X01,,,,,,,ARE.2.14.1_1,sequential
AE-AJ-A07-X01,,,,,,,ARE.2.15.1_1,sequential
AE-AJ-A08-X01,,,,,,,ARE.2.16.1_1,sequential
AE-AJ-A09-X01,,,,,,,ARE.2.17.1_1,sequential
AE-AJ-A10-X01,,,,,,,ARE.2.18.1_1,sequential
AE-AJ-A11-X01,,,,,,,ARE.2.19.1_1,sequential
AE-AJ-A12-X01,,,,,,,ARE.2.20.1_1,sequential
AE-AJ-A13-X01,,,,,,,ARE.2.21.1_1,sequential
AE-AJ-A14-X01,,,,,,,ARE.2.22.1_1,sequential
AE-AJ-A15-X01,,,,,,,ARE.2.23.1_1,sequential
AE-AJ-A16-X01,,,,,,,ARE.2.26.1_1,sequential
AE-AJ-A17-X01,,,,,,,ARE.2.27.1_1,sequential
AE-AJ-A18-X01,,,,,,,ARE.2.28.1_1,sequential
AE-AJ-A19-X01,,,,,,,ARE.2.29.1_1,sequential
AE-AJ-A20-X01,,,,,,,ARE.2.30.1_1,sequential
AE-AJ-A21-X01,,,,,,,ARE.2.31.1_1,sequential
AE-AJ-A22-X01,,,,,,,ARE.2.32.1_1,sequential
AE-AJ-A23-X01,,,,,,,ARE.2.33.1_1,sequential
AE-AJ-A24-X01,,,,,,,ARE.2.35.1_1,sequential
AE-AJ-A25-X01,,,,,,,ARE.2.36.1_1,sequential
AE-AJ-AA-X01,,,,,,,ARE.2.5.1_1,sequential
AE-AJ-AB-X01,,,,,,,ARE.2.7.1_1,sequential
AE-AJ-AC-X01,,,,,,,ARE.2.2.1_1,sequential
AE-AJ-AH-X01,,,,,,,ARE.2.11.1_1,sequential
AE-AJ-AI-X01,,,,,,,ARE.2.25.1_1,sequential
AE-AJ-AJ-X01,,,,,,,ARE.2.1.1_1,sequential
AE-AJ-AL-X01,,,,,,,ARE.2.6.1_1,sequential
AE-AJ-AN-X01,,,,,,,ARE.2.24.1_1,sequential
AE-AJ-AR-X01,,,,,,,ARE.2.34.1_1,sequential
