admin_id,population,source
AE-AD-AA,1248473,ghs-pop-e2020
AE-AD-AD,1459258,ghs-pop-e2020
AE-AD-AG,389220,ghs-pop-e2020
AE-AJ-AAL,328,ghs-pop-e2020
AE-AJ-ABA,1786,ghs-pop-e2020
AE-AJ-ABU,3711,ghs-pop-e2020
AE-AJ-ACE,1631,ghs-pop-e2020
AE-AJ-AEF,6421,ghs-pop-e2020
AE-AJ-AFT,7449,ghs-pop-e2020
AE-AJ-AH1,8044,ghs-pop-e2020
AE-AJ-AH2,9534,ghs-pop-e2020
AE-AJ-AH3,19309,ghs-pop-e2020
AE-AJ-AI1,17926,ghs-pop-e2020
AE-AJ-AI2,9737,ghs-pop-e2020
AE-AJ-AJ1,11578,ghs-pop-e2020
AE-AJ-AJ2,9124,ghs-pop-e2020
AE-AJ-AJ3,7149,ghs-pop-e2020
AE-AJ-AJC,23378,ghs-pop-e2020
AE-AJ-AJE,7707,ghs-pop-e2020
AE-AJ-AJI,16383,ghs-pop-e2020
AE-AJ-AJM,2823,ghs-pop-e2020
AE-AJ-ALA,685,ghs-pop-e2020
AE-AJ-ALB,3769,ghs-pop-e2020
AE-AJ-ALJ,9654,ghs-pop-e2020
AE-AJ-ALM,759,ghs-pop-e2020
AE-AJ-ALN,30704,ghs-pop-e2020
AE-AJ-ALR,16443,ghs-pop-e2020
AE-AJ-ALY,986,ghs-pop-e2020
AE-AJ-ALZ,682,ghs-pop-e2020
AE-AJ-AM1,3783,ghs-pop-e2020
AE-AJ-AM2,10421,ghs-pop-e2020
AE-AJ-AM3,9552,ghs-pop-e2020
AE-AJ-AMU,582,ghs-pop-e2020
AE-AJ-ANA,13449,ghs-pop-e2020
AE-AJ-AR1,9456,ghs-pop-e2020
AE-AJ-AR2,15496,ghs-pop-e2020
AE-AJ-AR3,17746,ghs-pop-e2020
AE-AJ-ARA,11494,ghs-pop-e2020
AE-AJ-ARU,5696,ghs-pop-e2020
AE-AJ-AT1,768,ghs-pop-e2020
AE-AJ-AT2,2854,ghs-pop-e2020
AE-AJ-HE1,1039,ghs-pop-e2020
AE-AJ-HE2,743,ghs-pop-e2020
AE-AJ-MAN,10108,ghs-pop-e2020
AE-AJ-MAS,11725,ghs-pop-e2020
AE-AJ-MES,19819,ghs-pop-e2020
AE-AJ-SOA,36956,ghs-pop-e2020
AE-DU-S1,217718,ghs-pop-e2020
AE-DU-S2,707761,ghs-pop-e2020
AE-DU-S3,906707,ghs-pop-e2020
AE-DU-S4,143417,ghs-pop-e2020
AE-DU-S5,553552,ghs-pop-e2020
AE-DU-S6,308234,ghs-pop-e2020
AE-DU-S7,12200,ghs-pop-e2020
AE-DU-S8,37003,ghs-pop-e2020
AE-DU-S9,52480,ghs-pop-e2020
AE-FU-CE,144392,ghs-pop-e2020
AE-FU-NO,101646,ghs-pop-e2020
AE-FU-SO,888,ghs-pop-e2020
AE-RA-ADN,16634,ghs-pop-e2020
AE-RA-ADS,82325,ghs-pop-e2020
AE-RA-ADU,2388,ghs-pop-e2020
AE-RA-AHU,4432,ghs-pop-e2020
AE-RA-AHV,2120,ghs-pop-e2020
AE-RA-AIR,401,ghs-pop-e2020
AE-RA-AJA,3477,ghs-pop-e2020
AE-RA-ALD,4288,ghs-pop-e2020
AE-RA-ALF,8409,ghs-pop-e2020
AE-RA-ALG,3255,ghs-pop-e2020
AE-RA-ALH,27817,ghs-pop-e2020
AE-RA-ALJ,3208,ghs-pop-e2020
AE-RA-ALK,3291,ghs-pop-e2020
AE-RA-ALM,9012,ghs-pop-e2020
AE-RA-ALN,4598,ghs-pop-e2020
AE-RA-ALQ,3161,ghs-pop-e2020
AE-RA-ALR,14812,ghs-pop-e2020
AE-RA-ALS,10701,ghs-pop-e2020
AE-RA-ALT,4131,ghs-pop-e2020
AE-RA-ALU,8955,ghs-pop-e2020
AE-RA-ALZ,8186,ghs-pop-e2020
AE-RA-AMA,6087,ghs-pop-e2020
AE-RA-ANU,3092,ghs-pop-e2020
AE-RA-AQI,6220,ghs-pop-e2020
AE-RA-AQU,1970,ghs-pop-e2020
AE-RA-ARI,12811,ghs-pop-e2020
AE-RA-ASA,5740,ghs-pop-e2020
AE-RA-ASE,4428,ghs-pop-e2020
AE-RA-ASO,4423,ghs-pop-e2020
AE-RA-BAB,77,ghs-pop-e2020
AE-RA-DAK,6044,ghs-pop-e2020
AE-RA-DHA,437,ghs-pop-e2020
AE-RA-GHA,10148,ghs-pop-e2020
AE-RA-HAM,10667,ghs-pop-e2020
AE-RA-IDH,12595,ghs-pop-e2020
AE-RA-JAJ,845,ghs-pop-e2020
AE-RA-KHA,7602,ghs-pop-e2020
AE-RA-KHK,5646,ghs-pop-e2020
AE-RA-KHU,9297,ghs-pop-e2020
AE-RA-LIB,3782,ghs-pop-e2020
AE-RA-MAA,206,ghs-pop-e2020
AE-RA-MUD,4105,ghs-pop-e2020
AE-RA-RAC,1794,ghs-pop-e2020
AE-RA-RAS,5957,ghs-pop-e2020
AE-RA-SAB,5442,ghs-pop-e2020
AE-RA-SAG,4225,ghs-pop-e2020
AE-RA-SAH,5502,ghs-pop-e2020
AE-RA-SAI,990,ghs-pop-e2020
AE-RA-SAQ,2516,ghs-pop-e2020
AE-RA-SAU,6351,ghs-pop-e2020
AE-RA-SEA,3295,ghs-pop-e2020
AE-RA-SES,4304,ghs-pop-e2020
AE-RA-SHA,3916,ghs-pop-e2020
AE-RA-SHH,4199,ghs-pop-e2020
AE-RA-SHJ,3162,ghs-pop-e2020
AE-RA-SID,5255,ghs-pop-e2020
AE-RA-SOU,19753,ghs-pop-e2020
AE-RA-SUB,19578,ghs-pop-e2020
AE-RA-SUH,318,ghs-pop-e2020
AE-RA-WAA,5634,ghs-pop-e2020
AE-RA-XAA,15494,parent-residual
AE-SH-AAB,13390,ghs-pop-e2020
AE-SH-AAH,3464,ghs-pop-e2020
AE-SH-AAL,3723,ghs-pop-e2020
AE-SH-AAN,20865,ghs-pop-e2020
AE-SH-AAO,10100,ghs-pop-e2020
AE-SH-AAZ,12321,ghs-pop-e2020
AE-SH-ABA,3363,ghs-pop-e2020
AE-SH-ABD,9618,ghs-pop-e2020
AE-SH-ABS,26911,ghs-pop-e2020
AE-SH-ABU,14830,ghs-pop-e2020
AE-SH-ADI,22149,ghs-pop-e2020
AE-SH-ADR,5585,ghs-pop-e2020
AE-SH-AES,10940,ghs-pop-e2020
AE-SH-AFI,4743,ghs-pop-e2020
AE-SH-AGH,26013,ghs-pop-e2020
AE-SH-AGO,13651,ghs-pop-e2020
AE-SH-AHS,10794,ghs-pop-e2020
AE-SH-AIR,7818,ghs-pop-e2020
AE-SH-AKH,2423,ghs-pop-e2020
AE-SH-AKS,12602,ghs-pop-e2020
AE-SH-ALA,26309,ghs-pop-e2020
