admin2_id,name,type,name_original,name_alternatives,admin2_id_admin1,admin2_id_source
AD-AN,Andorra la Vella,Parish,,,,hasc
AD-CA,Canillo,Parish,,,,hasc
AD-EE,Escaldes-Engordany,Parish,,,,hasc
AD-EN,Encamp,Parish,,,,hasc
AD-JL,Sant Julià de Lòria,Parish,,,,hasc
AD-MA,La Massana,Parish,,,,hasc
AD-OR,Ordino,Parish,,,,hasc
AE-AJ,Ajman,Emirate,عجمان,,,iso
AE-AZ,Abu Dhabi,Emirate,إمارة أبوظبي,,,hasc
AE-DU,Dubai,Emirate,دبي,,,hasc
AE-FU,Fujairah,Emirate,الفجيرة,,,hasc
AE-RK,Ras Al-Khaimah,Emirate,رأس الخيمة,,,hasc
AE-SH,Sharjah,Emirate,الشارقة,,,hasc
AE-UQ,Umm al-Qaywayn,Emirate,أم القيوين,,,hasc
AF-BD,Badakhshan,Province,,Badahšan,,hasc
AF-BG,Badghis,Province,,Badghes|Badghisat|Badgis,,hasc
AF-BK,Balkh,Province,,Balh|Mazar-i-Sharif|Mazar,,hasc
AF-BL,Baghlan,Province,,Baglan|Bughlan,,hasc
AF-BM,Bamyan,Province,,,,hasc
AF-DK,Daykundi,Province,,,,hasc
AF-FB,Faryab,Province,,Fariab|Maimana|Meymaneh,,hasc
AF-FH,Farah,Province,,,,hasc
AF-GR,Ghor,Province,,Gawr|Ghore|Ghour|Ghur,,hasc
AF-GZ,Ghazni,Province,,Gazni,,hasc
AF-HM,Hilmand,Province,,Girishk|Hilmend,,hasc
AF-HR,Hirat,Province,,,,hasc
AF-JW,Jawzjan,Province,,Jaozjan|Jozjan|Juzjan|Jouzjan|Sh,,hasc
AF-KB,Kabul,Province,,Cabul|Kabol|Kaboul,,hasc
AF-KD,Kandahar,Province,,Qandahar,,hasc
AF-KP,Kapisa,Province,,Kapesa,,hasc
AF-KR,Kunar,Province,,Konarha|Kunarha,,hasc
AF-KT,Khost,Province,,,,hasc
AF-KZ,Kunduz,Province,,Kondoz|Qonduz|Qunduz,,hasc
AF-LA,Laghman,Province,,Lagman,,hasc
AF-LW,Logar,Province,,Lawghar|Loghar,,hasc
AF-NG,Nangarhar,Province,,Ningrahar|Eastern Province,,hasc
AF-NM,Nimroz,Province,,Neemroze|Nimrod|Nimrooz|Nimroze|,,hasc
AF-NR,Nuristan,Province,,Nooristan|Nuristão,,hasc
AF-OZ,Uruzgan,Province,,Urozgan,,hasc
AF-PJ,Panjshir,Province,,,,hasc
AF-PK,Paktika,Province,,Paktiya|Paktya|Southern Province,,hasc
AF-PT,Paktya,Province,,Paktiya|Southern Province,,hasc
AF-PV,Parwan,Province,,Charikar,,hasc
AF-SM,Samangan,Province,,,,hasc
AF-SP,Sari Pul,Province,,Sar-e Pul|Saripol,,hasc
AF-TK,Takhar,Province,,Takar,,hasc
AF-VR,Wardak,Province,,Verdak|Wardag|Maiden,,hasc
AF-ZB,Zabul,Province,,Zubul|Zaboul,,hasc
AG-BB,Barbuda,Dependency,,Codrington,,hasc
AG-GE,Saint George,Parish,,Parham,,hasc
AG-JO,Saint John,Parish,,Saint John's,,hasc
AG-MA,Saint Mary,Parish,,Bolands,,hasc
AG-PA,Saint Paul,Parish,,Nelson's Dockyard,,hasc
AG-PE,Saint Peter,Parish,,Parham,,hasc
AG-PH,Saint Philip,Parish,,Carlisle,,hasc
AG-RD,Redonda,Dependency,,,,hasc
