admin4_id,name,type,name_original,name_alternatives,type_original,admin4_id_admin1,admin4_id_source
AE-AJ-A01-X01,,,,,,,sequential
AE-AJ-A02-X01,,,,,,,sequential
AE-AJ-A03-X01,,,,,,,sequential
AE-AJ-A04-X01,,,,,,,sequential
AE-AJ-A05-X01,,,,,,,sequential
AE-AJ-A06-X01,,,,,,,sequential
AE-AJ-A07-X01,,,,,,,sequential
AE-AJ-A08-X01,,,,,,,sequential
AE-AJ-A09-X01,,,,,,,sequential
AE-AJ-A10-X01,,,,,,,sequential
AE-AJ-A11-X01,,,,,,,sequential
AE-AJ-A12-X01,,,,,,,sequential
AE-AJ-A13-X01,,,,,,,sequential
AE-AJ-A14-X01,,,,,,,sequential
AE-AJ-A15-X01,,,,,,,sequential
AE-AJ-A16-X01,,,,,,,sequential
AE-AJ-A17-X01,,,,,,,sequential
AE-AJ-A18-X01,,,,,,,sequential
AE-AJ-A19-X01,,,,,,,sequential
AE-AJ-A20-X01,,,,,,,sequential
AE-AJ-A21-X01,,,,,,,sequential
AE-AJ-A22-X01,,,,,,,sequential
AE-AJ-A23-X01,,,,,,,sequential
AE-AJ-A24-X01,,,,,,,sequential
AE-AJ-A25-X01,,,,,,,sequential
AE-AJ-AA-X01,,,,,,,sequential
AE-AJ-AB-X01,,,,,,,sequential
AE-AJ-AC-X01,,,,,,,sequential
AE-AJ-AH-X01,,,,,,,sequential
AE-AJ-AI-X01,,,,,,,sequential
AE-AJ-AJ-X01,,,,,,,sequential
AE-AJ-AL-X01,,,,,,,sequential
AE-AJ-AN-X01,,,,,,,sequential
AE-AJ-AR-X01,,,,,,,sequential
AE-AJ-AT-X01,,,,,,,sequential
AE-AJ-AU-X01,,,,,,,sequential
AE-AJ-AY-X01,,,,,,,sequential
AE-AJ-AZ-X01,,,,,,,sequential
AE-AJ-HE-X01,,,,,,,sequential
AE-AJ-HL-X01,,,,,,,sequential
AE-AJ-MA-MA,Manama,,,,,,first2
AE-AJ-ME-X01,,,,,,,sequential
AE-AJ-MS-MA,Masfut,,,,,,first2
AE-AJ-SA-X01,,,,,,,sequential
AE-AZ-AA-AA,Saa,Municipality,,,Municipality,,any2
AE-AZ-AA-AE,Airport East District,Municipality,,,Municipality,,initials
AE-AZ-AA-AF,Ain Al Fayda,Municipality,,,Municipality,,initials
AE-AZ-AA-AG,Al Agabiyaa,Municipality,,,Municipality,,first2
AE-AZ-AA-AH,Abu Huraybah,Municipality,,,Municipality,,initials
AE-AZ-AA-AI,Al Ain International Airport,Municipality,,,Municipality,,initials
AE-AZ-AA-AJ,Al Ajban,Municipality,,,Municipality,,first2
AE-AZ-AA-AK,Abu Krayyah,Municipality,,,Municipality,,initials
AE-AZ-AA-AL,Aflaj,Municipality,,,Municipality,,any2
AE-AZ-AA-AR,Al Araad,Municipality,,,Municipality,,first2
AE-AZ-AA-AS,Asharej,Municipality,,,Municipality,,first2
AE-AZ-AA-BA,Al Bateen,Municipality,,,Municipality,,first2
AE-AZ-AA-BB,Bida Bint Saud,Municipality,,,Municipality,,initials
