column,label,color,parent
group,Single Family,#E07850,
group,Manufactured Home,#D4A830,
group,Multi Family,#9070C8,
group,Hotel,#E8D09A,
group,Institutional Dormitory,#E8C880,
group,Nursing Home,#F0D8A8,
group,Retail,#C55A11,
group,Wholesale,#B85010,
group,Personal & Repair Services,#D06820,
group,Professional Technical Services,#D07830,
group,Bank,#A84000,
group,Hospital,#C86050,
group,Medical Office,#D07060,
group,Entertainment/Recreation,#D88040,
group,Theater,#C87040,
group,Garage,#A06030,
group,Heavy Industrial,#606060,
group,Light Industrial,#787878,
group,Food/Drug/Chemical,#909090,
group,Metals/Minerals processing,#505050,
group,High Technology,#A0A0A0,
group,Construction,#B0A090,
group,Agricultural,#D0A100,
group,Government Services,#00B8E0,
group,Emergency Response,#0090B8,
group,Average School,#A090D8,
group,College/University,#B8A0E8,
group,Church,#F680CB,
purpose_group,Residential,#EF643F,
purpose_group,Commercial,#C55A11,
purpose_group,Industrial,#808080,
purpose_group,Public,#7B9FD4,
occupancy_type,Single-Family,#E07850,
occupancy_type,Manufactured Home,#D4A830,
occupancy_type,Multi-Family,#9070C8,
occupancy_type,Low-Rise Multi-Family,#A88FD6,Multi-Family
occupancy_type,Mid-Rise Multi-Family,#7050A8,Multi-Family
occupancy_type,High-Rise Multi-Family,#503080,Multi-Family
occupancy_type,Secondary,#B0A090,
geometry_source,Parcel,#5a9e6f,
geometry_source,National Center for Education Statistics,#7a9ec8,
geometry_source,HIFLD Nursing Home,#9eb8d8,
geometry_source,HIFLD Hospital,#8aafd0,
geometry_source,ESRI,#e68a3c,
geometry_source,HAZUS/NSI-2015,#b0b0b0,
